"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"title/title_firefront";"Fire Front 4x4";"Front de flamme 4x4";"Fronte Infuocato 4x4";"Feuerfront 4x4";"Frente de fuego 4x4";"Огненный фронт 4х4";"Ognisty Front 4x4";"Ohnivá fronta 4 vs 4";"Ateşten Cephe 4x4";"Fire Front 4x4";"Fire Front 4x4";"Fire Front 4x4";"Fire Front 4x4";"Вогняний фронт 4х4";"Vatreni Front 4x4";"4×4 Tűzvonal";"Fire Front 4x4";"Вогненны фронт 4×4";"Fire Front 4x4";"Fire Front 4x4";"Fire Front 4x4";;
"title/title_legionnaire";"Legionnaire";"Legionnaire";"Legionario";"Legionnaire";"Legionnaire";"Легионер";"Legionnaire";"Legionář";"Lejyoner";"Legionnaire";"Legionnaire";"Legionnaire";"Legionnaire";"Легіонер";"Legionar";"Légiós";"Legionnaire";"Легіянер";"Legionnaire";"Legionnaire";"Legionnaire";;
"title/title_centurion";"Centurion";"Centurion";"Centurione";"Centurion";"Centurion";"Центурион";"Centurion";"Centurion";"Yüzbaşı";"Centurion";"Centurion";"Centurion";"Centurion";"Центуріон";"Centurion";"Centurio";"Centurion";"Цэнтурыён";"Centurion";"Centurion";"Centurion";;
"title/title_victorious";"Victorious";"Victorious";"Vittorioso";"Victorious";"Victorious";"Победоносный";"Victorious";"Vítěz";"Muzaffer";"Victorious";"Victorious";"Victorious";"Victorious";"Переможний";"Pobednički";"Győzedelmes";"Victorious";"Перамаганосец";"Victorious";"Victorious";"Victorious";;
"title/tl_fan_dislike";"Dislike Team Fan";"Dislike Team Fan";"Fan Squadra Dislike";"Dislike Team fan";"Seguidor del equipo Dislike";"Фанат Dislike Team";"Kibic Dislike Team";"Dislike Team fan";"Dislike Takımı hayranı";"Dislike Team fan";"Dislike Team fan";"Dislike Team Fan";"Dislike Team Fan";"Фанат Dislike Team";"Dislike Tim fan";"Dislike rajongó";"Dislike Team Fan";"Фанат Dislike Team";"Dislike Team Fan";"Dislike Team Fan";"Dislike Team Fan";;
"title/tl_fan_arcade";"Arcade eSports Fan";"Arcade eSports Fan";"Fan Arcade eSports";"Arcade eSports fan";"Seguidor de Arcade eSports";"Фанат Arcade eSports";"Kibic Arcade eSports";"Arcade eSports fan";"Arcade e-Sporları hayranı";"Arcade eSports fan";"Arcade eSports fan";"Arcade eSports Fan";"Arcade eSports Fan";"Фанат Arcade eSports";"Arcade eSports fan";"Arcade eSports rajongó";"Arcade eSports Fan";"Фанат Arcade eSports";"Arcade eSports Fan";"Arcade eSports Fan";"Arcade eSports Fan";;
"title/tl_fan_verve";"Verve Team Fan";"Verve Team Fan";"Fan Squadra Verve";"Verve Team fan";"Seguidor del equipo Verve";"Фанат Verve";"Kibic Verve Team";"Verve Team fan";"Verve Takımı hayranı";"Verve Team fan";"Verve Team fan";"Verve Team Fan";"Verve Team Fan";"Фанат Verve";"Verve Tim fan";"Verve rajongó";"Verve Team Fan";"Фанат Verve";"Verve Team Fan";"Verve Team Fan";"Verve Team Fan";;
"title/thunder_league";"Thunder League";"Thunder League";"Thunder League";"Thunder League";"Liga Thunder";"Лига Грома";"Thunder League";"Thunder liga";"Thunder Ligi";"雷\t霆\t联\t赛";"Thunder League";"Thunder League";"Thunder League";"Ліга Грому";"Thunder Liga";"Thunder Liga";"Thunder League";"Ліга Грому";"Thunder League";"Thunder League";"Thunder League";;
"title/thunder_league_stormer";"Stormer";"Stormer";"Assaltatore";"Stormer";"Stormer";"Гром и молнии";"Wzburzony";"Stormer";"Hücumcu";"Stormer";"Stormer";"Stormer";"Stormer";"Грім та блискавки";"Jurišnik";"Tomboló";"Stormer";"Гром і маланкі";"Stormer";"Stormer";"Stormer";;
"title/title_superheavy";"Superheavy";"Superheavy";"Superpesante";"Superheavy";"Superpesado";"Сверхтяжёлый";"Superciężki";"Superheavy";"Süperağır";"Superheavy";"Superheavy";"Superheavy";"Superheavy";"Надважкий";"Super-teški";"Szupernehéz";"Superheavy";"Звышцяжкі";"Superheavy";"Superheavy";"Superheavy";;
"title/title_teutonic_giant";"Teutonic Giant";"Teutonic Giant";"Gigante Teutonico";"Teutonic Giant";"Teutonic Giant";"Стальной гигант";"Pancerny Kolos";"Teutonic Giant";"Germen Dev";"Teutonic Giant";"Teutonic Giant";"Teutonic Giant";"Teutonic Giant";"Сталевий гігант";"Teutonski Džin";"Teuton óriás";"Teutonic Giant";"Сталёвы гігант";"Teutonic Giant";"Teutonic Giant";"Teutonic Giant";;
"title/mustache_general";"Moustached";"Moustached";"Baffuto";"Moustached";"Moustached";"Усатый";"Wąsaty";"Moustached";"Bıyıklı";"Moustached";"Moustached";"Moustached";"Moustached";"Вусатий";"Brkati";"Bajszos";"Moustached";"Вусаты";"Moustached";"Moustached";"Moustached";;
"title/title_incinerator";"Incinerator";"Incinerator";"Inceneritore";"Incinerator";"Incinerator";"Испепеляющий";"Incinerator";"Spalovač";"Çöp Fırını";"Incinerator";"Incinerator";"Incinerator";"Incinerator";"Спопеляючий";"Spaljivač";"Hamvasztó";"Incinerator";"Спапяляльны";"Incinerator";"Incinerator";"Incinerator";;
"title/title_creating_the_game";"Creating the Game";"Nous créons le jeu";"Creatore del gioco";"Das Spiel erschaffen";"Creating the game";"Я создаю игру";"Twórca zawartości";"Tvůrce hry";"Oyuna Katkı Yaptım";"Creating the game";"Creating the Game";"Criando o Jogo";"Creating the Game";"Creating the game";"Creating the game";"Tartalomkészítő";"Creating the Game";"Я ствараю гульню";"Creating the Game";"Creating the Game";"Creating the Game";;
"title/title_rocketman";"Rocketman";"Rocketman";"Uomo razzo";"Rocketman";"Rocketman";"Rocketman";"Rocketman";"Raketometčík";"Roketçi";"Rocketman";"Rocketman";"Rocketman";"Rocketman";"Rocketman";"Rocketman";"Rakétamester";"Rocketman";"Rocketman";"Rocketman";"Rocketman";"Rocketman";;
"title/title_five_minutes_of_fame";"Five Minutes of Fame";"Five Minutes of Fame";"5 minuti di gloria";"Five minutes of fame";"Five minutes of fame";"Минута славы";"Five minutes of fame";"Pět minut slávy";"Beş dakikalık şöhret";"Five minutes of fame";"Five Minutes of Fame";"Five Minutes of Fame";"Five Minutes of Fame";"Five minutes of fame";"Five minutes of fame";"Öt perc hírnév";"Five Minutes of Fame";"Хвіліна славы";"Five Minutes of Fame";"Five Minutes of Fame";"Five Minutes of Fame";;
"title/title_vengeance_from_above";"Vengeance From Above";"Vengeance From Above";"Vendetta dall'alto";"Vengeance from above";"Vengeance from above";"Пикирующее возмездие";"Vengeance from above";"Pomsta z výšky";"Vengeance from above";"Vengeance from above";"Vengeance From Above";"Vengeance From Above";"Vengeance From Above";"Vengeance from above";"Vengeance from above";"Vengeance from above";"Vengeance From Above";"Помста з вышыні";"Vengeance From Above";"Vengeance From Above";"Vengeance From Above";;
"title/title_baptized_by_fire";"Baptized by Fire";"Baptized by Fire";"Battezzato dal fuoco";"Baptized by Fire";"Baptized by Fire";"Крещенный Огнем";"Baptized by Fire";"Křest ohněm";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";"Tűz által megkeresztelt";"Baptized by Fire";"Хрышчоны агнём";"Baptized by Fire";"Baptized by Fire";"Baptized by Fire";;
"title/title_stiff_upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Imbronciato";"Stiff Upperlipped";"Stiff Upperlipped";"Невозмутимый";"Stiff Upperlipped";"Drsný polibek";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";"Pókerarc";"Stiff Upperlipped";"Жалезны спакой";"Stiff Upperlipped";"Stiff Upperlipped";"Stiff Upperlipped";;
"title/title_fangs_of_steel";"Fangs of Steel";"Fangs of Steel";"Zanne d'acciaio";"Fangs of Steel";"Fangs of Steel";"Стальные Клыки";"Fangs of Steel";"Zuby z oceli";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";"Acélagyar";"Fangs of Steel";"Сталёвыя іклы";"Fangs of Steel";"Fangs of Steel";"Fangs of Steel";;
"title/title_die_hard";"Die Hard";"Die Hard";"Duro a morire";"Die hard";"Die hard";"Крепкий орешек";"Die hard";"Smrtonosná past";"Die hard";"Die hard";"Die Hard";"Die Hard";"Die Hard";"Die hard";"Die hard";"Die hard";"Die Hard";"Цвёрды арэшак";"Die Hard";"Die Hard";"Die Hard";;
"title/title_horrendous";"Horrendous";"Horrendous";"Orrendo";"Horrendous";"Horrendous";"Вселяющий Ужас";"Horrendous";"Příšerný";"Horrendous";"Horrendous";"Horrendous";"Horrendous";"Horrendous";"Horrendous";"Horrendous";"Borzasztó";"Horrendous";"Страшэнны";"Horrendous";"Horrendous";"Horrendous";;
"title/title_daredevil";"Daredevil";"Daredevil";"Audace";"Daredevil";"Daredevil";"Сорвиголова";"Daredevil";"Odvážlivec";"Daredevil";"Daredevil";"Daredevil";"Daredevil";"Daredevil";"Daredevil";"Daredevil";"Fenegyerek";"Daredevil";"Зламі-галава";"Daredevil";"Daredevil";"Daredevil";;
"title/title_follow_me";"Follow me, comrades!";"Follow me, comrades!";"Seguitemi, compagni!";"Follow me, comrades!";"Follow me, comrades!";"За мной, товарищи!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";"Utánam, elvtársak!";"Follow me, comrades!";"За мной, таварышы!";"Follow me, comrades!";"Follow me, comrades!";"Follow me, comrades!";;
"title/title_thick_skinned";"Thick-Skinned";"Thick-Skinned";"Dalla pelle dura";"Thick-skinned";"Thick-skinned";"Толстокожий";"Thick-skinned";"Necitlivý";"Thick-skinned";"Thick-skinned";"Thick-Skinned";"Thick-Skinned";"Thick-Skinned";"Thick-skinned";"Thick-skinned";"Érzéketlen";"Thick-Skinned";"Таўстаскуры";"Thick-Skinned";"Thick-Skinned";"Thick-Skinned";;
"title/title_quiz_mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"Знаток War Thunder";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";"War Thunder Mastermind";;
"title/title_battering_ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Пробивной";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";"Battering Ram";;
"title/title_beyond_reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Безупречный";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";"Beyond Reproach";;
"title/title_hot_shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Горячая голова";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";"Hot Shot";;
"title/title_slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Кромсатель";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";"Slasher";;
"title/title_musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Мушкетер";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";"Musketeer";;
"title/title_desert_wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Пустынный волк";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";"Desert Wolf";;
"title/title_bite_hard";"Bite Hard";"Frappe fort";"Bite Hard";"Bite Hard";"Bite Hard";"Кусачий";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";"Bite Hard";;
"title/title_the_battle_hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"Богатырь";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";"The Battle Hero";;
"title/title_impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Стремительный";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";"Impetuous";;
"title/title_loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Преданный";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";"Loyal";;
"title/title_merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Беспощадный";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";"Merciless";;
"title/title_triple_ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Первоклассный";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";"Triple Ace";;
"title/title_terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Терминатор";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";"Terminator";;
"title/title_gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Бравый";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";"Gallant";;
"title/title_possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Одержимый";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";"Possessed";;
"title/title_diavolo_rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";"Diavolo Rosso";;
"title/title_hero_colosseum";"Hero of the Colosseum";"Héros de l'arène";"Hero of the Colosseum";"Held des Kolosseums";"Héroe del Coliseo";"Герой Колизея";"Bohater Koloseum";"Hrdina arény";"Kolezyum Kahramanı";"Hero of the Colosseum";"Hero of the Colosseum";"Herói do Coliseu";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";"Hero of the Colosseum";;
"title/title_perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Перфекционист";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";"Perfectionist";;
"perfectionist_air_check/name";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Лампочки на ёлке (авиация)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";"Lighting Up the Christmas Tree (aircraft)";;
"perfectionist_tank_check/name";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Лампочки на ёлке (танки)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";"Lighting Up the Christmas Tree (tank)";;
"title/title_rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Гремучая змея";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";"Rattlesnake";;
"title/title_griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Грифон";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";"Griffin";;
"title/title_fire_breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Огнедышащий";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";"Fire-Breathing";;
"title/title_im_here_to_stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"Я здесь надолго";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";"I'm here to stay";;
"title/title_his_majestys_finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"На страже Его Величества";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";"His Majesty's Finest";;
"title/title_swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Рыба-меч";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";"Swordfish";;
"title/title_steel_general";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"На страже Его Величества";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";"Steel General";;
"title/title_sea_robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Морской разбойник";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";"Sea Robber";;
"title/title_swimming_with_sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Акула среди акул";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";"Swimming with Sharks";;
"title/title_triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Триумфатор";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";"Triumphant";;
"title/title_armor_of_victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Броня Победы";"Pancerz Zwycięstwa";"Armor of Victory";"Zafer Zırhı";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";"Armor of Victory";;
"title/title_whispering_death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Шепчущая смерть";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";"Whispering Death";;
"title/title_royal_engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Королевский инженер";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";"Royal Engineer";;
"title/title_doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Доппельгенгер";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";"Doppelganger";;
"title/title_sea_sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Морской меч";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";"Sea Sword";;
"title/title_hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Морской молот";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";"Hammerhead";;
"title/title_sea_kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Кракен";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";"Kraken";;
"title/title_revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Революционер";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";"Revolutionary";;
"title/title_football_fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Футбольный болельщик";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";"Football Fan";;
"title/title_top_scorer";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"Первый голеадор";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";"First Striker";;
"title/title_strike_witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"第\t501統合戦闘航空団";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";"Strike Witcher";;
"title/title_elite_strike_witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"わたしにできること";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";"Elite Strike Witcher";;
