"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"event_country_ussr";"(USSR)";"(URSS)";"(URSS)";"(UdSSR)";"(URSS)";"(СССР)";"(ZSRR)";"(SSSR)";"(SSCB)";"（\t苏\t联\t）";"(ソビエト\t連邦)";"(URSS)";"(USSR)";"(СРСР)";"(SSSR)";"(Szovjetunió)";"(소련)";"(СССР)";"(URSS)";"（苏联）";"（\tS \t系\t）";;
"event_country_britain";"(Britain)";"(Grande-Bretagne)";"(Gran Bretagna)";"(Großbritannien)";"(Gran Bretaña)";"(Британия)";"(Wielka Brytania)";"(Británie)";"(Britanya)";"（\t英\t国\t）";"(イギリス)";"(Grã-Bretanha)";"(Britain)";"(Британія)";"(Britanija)";"(Nagy-Britannia)";"(영국)";"(Вялікабрытанія)";"(Britania)";"（英国）";"（\tE \t系\t）";;
"event_country_australia";"(Australia)";"(Australie)";"(Australia)";"(Australien)";"(Australia)";"(Австралия)";"(Australia)";"(Austrálie)";"(Avustralya)";"（\t澳\t大\t利\t亚\t）";"(オーストラリア)";"(Austrália)";"(Australia)";"(Австралія)";"(Australija)";"(Ausztrália)";"(호주)";"(Аўстралія)";"(Australia)";"（澳大利亚）";"（\tO \t系\t）";;
"event_country_usa";"(USA)";"(USA)";"(USA)";"(USA)";"(EE.UU.)";"(США)";"(USA)";"(USA)";"(ABD)";"（\t美\t国\t）";"(アメリカ)";"(EUA)";"(USA)";"(США)";"(SAD)";"(USA)";"(미국)";"(ЗША)";"(SUA)";"（美国）";"（\tA \t系\t）";;
"event_country_italy";"(Italy)";"(Italie)";"(Italia)";"(Italien)";"(Italia)";"(Италия)";"(Włochy)";"(Itálie)";"(İtalya)";"（\t意\t大\t利\t）";"(イタリア)";"(Itália)";"(Italy)";"(Італія)";"(Italija)";"(Olaszország)";"(이탈리아)";"(Італія)";"(Italia)";"（意大利）";"（\tI \t系\t）";;
"event_country_japan";"(Japan)";"(Japon)";"(Giappone)";"(Japan)";"(Japón)";"(Япония)";"(Japonia)";"(Japonsko)";"(Japonya)";"（\t日\t本\t）";"(日本)";"(Japão)";"(Japan)";"(Японія)";"(Japan)";"(Japán)";"(일본)";"(Японія)";"(Japonia)";"（日本）";"（\tR \t系\t）";;
"event_country_china";"(China)";"(Chine)";"(Cina)";"(China)";"(China)";"(Китай)";"(Chiny)";"(Čína)";"(Çin)";"（\t中\t国\t）";"(中国)";"(China)";"(China)";"(Китай)";"(Kina)";"(Kína)";"(중국)";"(Кітай)";"(China)";"(China)";"（\tC \t系\t）";;
"event_airforce_germany";"German Air Force";"Force aérienne allemande";"Aeronautica Tedesca";"Deutsche Luftwaffe";"Fuerza aérea alemana";"ВВС Германии";"Lotnictwo Niemieckie";"Německé letectvo";"Alman Hava Kuvvetleri";"德\t国\t空\t军";"ドイツ\t空軍";"Força Aérea Alemã";"German Air Force";"Німецькі ВПС";"Nemačko Vazduhoplovstvo";"Német légierő";"독일 공군";"Паветраныя сілы Германіі";"Forțele aeriene germane";"德国空军";"D \t系\t空\t军";;
"event_airforce_ussr";"USSR Air Force";"Force aérienne soviétique";"Aeronautica URSS";"Sowjetische Luftwaffe";"Fuerza aérea de la URSS";"ВВС СССР";"Lotnictwo Radzieckie";"Sovětské letectvo";"SSCB Hava Kuvvetleri";"苏\t联\t空\t军";"ソ\t連空軍";"Força Aérea da URSS";"USSR Air Force";"ВПС СРСР";"SSSR Vazduhoplovstvo";"Szovjet légierő";"소련 공군";"Паветраныя сілы СССР";"Forțele aeriene sovietice";"苏联空军";"S \t系\t空\t军";;
"event_airforce_britain";"British Air Force";"Force aérienne britannique";"Aeronautica Britannica";"Britische Luftwaffe";"Fuerza aérea británica";"ВВС Великобритании";"Lotnictwo Brytyjskie";"Britské letectvo";"Britanya Hava Kuvvetleri";"英\t国\t空\t军";"イギリス\t空軍";"Força Aérea Britânica";"British Air Force";"Британські ВПС";"Britansko Vazduhoplovstvo";"Brit légierő";"영국 공군";"Паветраныя сілы Вялікабрытаніі";"Forțele aeriene britanice";"英国空军";"E \t系\t空\t军";;
"event_airforce_australia";"Australian Air Force";"Force aérienne australienne";"Aeronautica Australiana";"Australische Luftwaffe";"Fuerza aérea australiana";"ВВС Австралии";"Lotnictwo Australijskie";"Australské letectvo";"Avustralya Hava Kuvvetleri";"澳\t大\t利\t亚\t空\t军";"オーストラリア\t空軍";"Força Aérea Australiana";"Australian Air Force";"Австралійські ВПС";"Australijsko Vazduhoplovstvo";"Ausztrál légierő";"호주 공군";"Паветраныя сілы Аўстраліі";"Forțele aeriene australiene";"澳大利亚空军";"O \t系\t空\t军";;
"event_airforce_usa";"US Air Force";"US Air Force";"Aeronautica USA";"US-Luftwaffe";"Fuerza aérea de EE.UU.";"ВВС США";"Lotnictwo Amerykańskie";"Americké letectvo";"ABD Hava Kuvvetleri";"美\t国\t空\t军";"アメリカ\t空軍";"Força Aérea dos EUA";"US Air Force";"ВПС США";"SAD Vazduhoplovstvo";"Amerikai légierő";"미 공군";"Паветраныя сілы ЗША";"Forțele aeriene americane";"美国空军";"A \t系\t空\t军";;
"event_airforce_italy";"Italian Air Force";"Force aérienne italienne";"Aeronautica Italiana";"Italienische Luftwaffe";"Fuerza aérea italiana";"ВВС Италии";"Lotnictwo Włoskie";"Regia Aeronautica";"İtalyan Hava Kuvvetleri";"意\t大\t利\t空\t军";"イタリア\t空軍";"Força Aérea Italiana";"Italian Air Force";"Італійські ВПС";"Italijansko Vazduhoplovstvo";"Olasz légierő";"이탈리아 공군";"Паветраныя сілы Італіі";"Forțele aeriene italiene";"意大利空军";"I \t系\t空\t军";;
"event_airforce_japan";"Japanese Air Force";"Force aérienne japonaise";"Aeronautica Giapponese";"Japanische Luftwaffe";"Fuerza aérea japonesa";"ВВС Японии";"Lotnictwo Japońskie";"Japonské letectvo";"Japon Hava Kuvvetleri";"日\t本\t空\t军";"日本空軍";"Força Aérea Japonesa";"Japanese Air Force";"ВПС Японії";"Japansko Vazduhoplovstvo";"Japán légierő";"일본 육군/해군항공대";"Паветраныя сілы Японіі";"Forțele aeriene japoneze";"日本空军";"R \t系\t空\t军";;
"event_airforce_china";"Chinese Air Force";"Armée de l'air Chinoise";"Aeronautica Cinese";"Chinesische Luftwaffe";"Fuerza aérea China";"ВВС Китая";"Chińskie Siły Powietrzne";"Čínské letectvo";"Çin Hava Kuvvetleri";"中\t国\t空\t军";"中国空軍";"Força Aérea Chinesa";"Chinese Air Force";"Китайські ВПС";"Kinesko Vazduhoplovstvo";"Kínai légierő";"중국 공군";"ВПС Кітая";"Forțele aeriene chineze";"Chinese Air Force";"C \t系\t空\t军";;
"event_army_germany";"German Army";"Armée allemande";"Esercito Tedesco";"Deutsche Armee";"Ejército alemán";"Армия Германии";"Armia Niemiecka";"Německá armáda";"Alman Ordusu";"德\t国\t陆\t军";"ドイツ\t陸軍";"Exército Alemão";"German Army";"Армія Німеччини";"Nemačka Armija";"Német hadsereg";"독일 육군";"Наземныя сілы Германіі";"Armata germană";"德国陆军";"D \t系\t陆\t军";;
"event_army_ussr";"USSR Army";"Armée de l'URSS";"Esercito URSS";"Sowjetische Armee";"Ejército de la URSS";"Армия СССР";"Armia Radziecka";"Sovětská armáda";"SSCB Ordusu";"苏\t联\t陆\t军";"ソ\t連陸軍";"Exército da URSS";"USSR Army";"Армія СРСР";"SSSR Armija";"Szovjet hadsereg";"소련 육군";"Наземныя сілы СССР";"Armata sovietică";"苏联陆军";"S \t系\t陆\t军";;
"event_army_britain";"British Army";"Armée britannique";"Esercito Britannico";"Britische Armee";"Ejército británico";"Армия Великобритании";"Armia Brytyjska";"Britská armáda";"Britanya Ordusu";"英\t国\t陆\t军";"イギリス\t陸軍";"Exército Britânico";"British Army";"Армія Великобританії";"Britanska Armija";"Brit hadsereg";"영국 육군";"Наземныя сілы Вялікабрытаніі";"Armata britanică";"英国陆军";"E \t系\t陆\t军";;
"event_army_australia";"Australian Army";"Armée australienne";"Esercito Australiano";"Australische Armee";"Ejército australiano";"Армия Австралии";"Armia Australijska";"Australská armáda";"Avustralya Ordusu";"澳\t大\t利\t亚\t陆\t军";"オーストラリア\t陸軍";"Exército Australiano";"Australian Army";"Армія Австралії";"Australijska Armija";"Ausztrál hadsereg";"호주 육군";"Наземныя сілы Аўстраліі";"Armata australiană";"澳大利亚陆军";"O \t系\t陆\t军";;
"event_army_usa";"US Army";"US Army";"Esercito USA";"US-Armee";"Ejército de los EE.UU.";"Армия США";"Armia Amerykańska";"Americká armáda";"ABD Ordusu";"美\t国\t陆\t军";"アメリカ\t陸軍";"Exército dos EUA";"US Army";"Армія США";"SAD Armija";"Amerikai hadsereg";"미 육군";"Наземныя сілы ЗША";"Armata americană";"美国陆军";"A \t系\t陆\t军";;
"event_army_italy";"Italian Army";"Armée italienne";"Esercito Italiano";"Italienische Armee";"Ejército italiano";"Армия Италии";"Armia Włoska";"Italská armáda";"İtalyan Ordusu";"意\t大\t利\t陆\t军";"イタリア\t陸軍";"Exército Italiano";"Italian Army";"Армія Італії";"Italijanska Armija";"Olasz hadsereg";"이탈리아 육군";"Наземныя сілы Італіі";"Armata italiană";"意大利陆军";"I \t系\t陆\t军";;
"event_army_japan";"Japanese Army";"Armée japonaise";"Esercito Giapponese";"Japanische Armee";"Ejército japonés";"Армия Японии";"Armia Japońska";"Japonská armáda";"Japon Ordusu";"日\t本\t陆\t军";"日本陸軍";"Exército Japonês";"Japanese Army";"Армія Японії";"Japanska Armija";"Japán hadsereg";"일본 육군";"Наземныя сілы Японіі";"Armata japoneză";"日本陆军";"R \t系\t陆\t军";;
"event_army_china";"Chinese Army";"Armée Chinoise";"Esercito Cinese";"Chinesische Armee";"Ejército chino";"Армия Китая";"Chińskie Siły Zbrojne";"Čínská armáda";"Çin Ordusu";"中\t国\t陆\t军";"中国軍";"Exército Chinês";"Chinese Army";"Армія Китаю";"Kineska Armija";"Kínai hadsereg";"중국군";"Наземныя сілы Кітая";"Armata chineză";"Chinese Army";"C \t系\t陆\t军";;
"events/kursk_battle";"Battle of Kursk";"Bataille de Kursk";"Battaglia di Kursk";"Battle of Kursk";"Batalla de Kursk";"Курская битва";"Bitwa na Łuku Kurskim";"Bitva o Kursk";"Kursk Muharebesi";"库\t尔\t斯\t克\t战\t役";"クルスクの\t戦い";"Batalha de Kursk";"Battle of Kursk";"Курська битва";"Borba za Kursk";"Kurszki csata";"쿠르스크 전투";"Курская бітва";"Bătălia de la Kursk";"库尔斯克战役";"堡\t垒\t行\t动";;
"events/kursk_battle/desc";;;;;;;;;;;;;;;;;;;;;;;
"events/prokhorovka_battle";"Battle of Prokhorovka";"Bataille de Prokhorovka";"Battaglia di Prokhorovka";"Battle of Prokhorovka";"Batalla de Prokhorovka";"Прохоровское сражение";"Bitwa pod Prochorowką";"Bitva o Prochorovku";"Prohorovka Muharebesi";"普\t罗\t霍\t罗\t夫\t卡\t战\t役";"プロホロフカの\t戦い";"Batalha de Prokhorovka";"Battle of Prokhorovka";"Битва під Прохоровкою";"Borba kod Prohorovke";"Prohorovkai csata";"프로호로프카 전투";"Бітва пад Прохараўкай";"Bătălia de la Prokhorovka";"普罗霍罗夫卡战役";"普\t罗\t霍\t罗\t夫\t卡\t战\t役";;
"events/prokhorovka_battle/desc";;;;;;;;;;;;;;;;;;;;;;;
"events/antiaircraft_battle";"Rapid Fire";"Tir rapide";"Fuoco Rapido";"Rapid Fire!";"Fuego rápido";"Беглый огонь";"Huragan Ognia";"Rychlá střelba";"Seri ateş";"火\t力\t网";"連射";"Fogo Rápido";"Rapid Fire";"Побіжний вогонь";"Brza paljba";"Gyorstüzelők";"속사";"Беглы агонь";"Tir rapid";"火力网";"【\t娱\t乐\t事\t件\t】\t火\t力\t网";;
"events/antiaircraft_battle/desc";;;;;;;;;;;;;;;;;;;;;;;
"events/tank_vs_air_arcade";"The Sky is for Heroes";"Le ciel est pour les héros";"Il cielo è per gli eroi";"The Sky is for Heroes";"El cielo es para los héroes";"Небо для героев";"Niebo jest dla bohaterów";"Obloha je pro hrdiny";"Gökyüzü kahramanlar içindir";"蓝\t天\t属\t于\t英\t雄";"空は\t英雄たちの\t物";"O Céu é para os Heróis";"The Sky is for Heroes";"Небо для героїв";"Nebo je za heroje";"Az égbolt a hősöké";"하늘은 영웅을 위해";"Неба для герояў";"Cerul este pentru eroi";"蓝天属于英雄";"蓝\t天\t属\t于\t英\t雄";;
"events/tank_vs_air_arcade/desc";"Only the best will reach the heights! Gain one opportunity of using an aircraft in a ground battle for each three enemies defeated.";"Seul le meilleur atteindra les sommets ! Gagner une possibilité d'utiliser un aéronef dans une bataille au sol pour chaque triplet d'ennemis vaincus.";"Solo il migliore raggiungerà la quota! Ottieni la possibilità di utilizzare un aereo per una battaglia di terra ogni tre nemici sconfitti.";"Nur die Besten erreichen den Himmel! Je drei besiegten Feinden erhältst du die Möglichkeit, ein Flugzeug in eine Landschlacht zu bringen.";"Sólo los mejores alcanzarán las alturas! Obtén una oportunidad de utilizar una aeronave en una batalla terrestre por cada tres enemigos derrotados.";"Лучшие поднимутся в небо! Получите возможность вылететь на самолёте за каждые три победы над противниками.";"Tylko najlepsi wzbiją się w przestworza! Zdobądź jedną szansę na użycie samolotu w bitwie pancernej za każdych trzech pokonanych przeciwników.";"Jen ti nejlepší dosáhnou výšek!
Za každé tři poražené nepřátele v pozemní bitvě získej možnost použít letoun";"Sadece en iyiler yükseklere ulaşacak! Kara savaşlarında her üç düşmanı yok ettiğinde bir uçak kullanma fırsatı yakala.";"只\t有\t战\t场\t精\t英\t才\t配\t统\t治\t天\t空\t！\t每\t当\t用\t地\t面\t载\t具\t获\t得\t三\t个\t击\t杀\t，\t便\t可\t赢\t得\t一\t次\t使\t用\t飞\t机\t出\t击\t的\t机\t会\t。";"この\t高みに\t昇れるのは\t最強のみ！ 敵に\t勝利するたびに\t地上戦で\t航空機を\t使用できる\tチャンスが\t手に\t入ります。";"Só os melhores irão alcançar as alturas! Ganhe uma oportunidade de usar uma aeronave em uma batalha para cada três inimigos derrotados.";"Only the best will reach the heights! Gain one opportunity of using an aircraft in a ground battle for each three enemies defeated.";"Найкращі піднімуться в небо! Отримайте можливість вилетіти на літаку за кожні три перемоги над суперниками.";"Samo najbolji će dostići visine! Dobij šansu da koristiš jedan avion u kopnenim borbama za svakog trećeg poraženog neprijatelja.";"Csak a legjobbak juthatnak fel a magasba! Szerezd meg a lehetőséget, hogy repülőbe szállhass azzal, hogy megsemmisítesz három ellenséget.";"최고만이 궁극에 오를 수 있다! 지상전에서 항공기를 탈 수 있는 기회가 3대의 적을 격파할 때마다 한 번씩 주어집니다.";"Толькі найлепшыя ўзнімуцца ў нябёсы! Атрымайце права на вылет у танкавым баі на самалёце за кожных трох пераможаных супраціўнікаў.";"Doar cei mai buni vor ajunge la înălțime! Obține posibilitatea de a folosi un avion într-o luptă terestră pentru fiecare trei inamici învinși.";"战场精英才有支配天空的权利！每当用地面载具获得三个击杀，便可赢得一次使用飞机出击的机会。";"只\t有\t战\t场\t精\t英\t才\t配\t统\t治\t天\t空\t！\t每\t当\t使\t用\t地\t面\t载\t具\t摧\t毁\t三\t个\t敌\t方\t单\t位\t，\t便\t可\t赢\t得\t一\t次\t使\t用\t飞\t机\t出\t击\t的\t机\t会\t。";;
"event_summer_mad_hunting_frenzy";"Hunting Frenzy";"Chasse Frénétique";"Hunting Frenzy";"Jagd-Wahnsinn!";"Frenesí de Caza";"""Охота в небе""";"Furia Łowów";"Lovecké šílenství";"Av Çılgınlığı";"狩\t猎\t狂\t热";"狩りの\t熱狂";"Hunting Frenzy";"Hunting Frenzy";"""Полювання в небі""";"Pomamljivi lov";"Vadász őrület";"광란의 사냥";"""Нябеснае паляванне""";"Vânătoare frenetică";"Hunting Frenzy";"狩\t猎\t狂\t热";;
"event_summer_mad_hunting_frenzy_elite";"Sky High Fliers";"Avions de Haut-Vol";"Sky High Fliers";"Top-Pilot";"Aviadores de Altos Vuelos";"""Элита в небе""";"Wysokolotni";"Sky High Fliers";"Yüksek Uçanlar";"俯\t视\t众\t生";"空高き\t飛翔者";"Sky High Fliers";"Sky High Fliers";"""Еліта в небі""";"Sky High Fliers";"A legjobb pilóta";"하늘 높이 날아라";"""Эліта ў небе""";"Zburători la mare altitudine";"Sky High Fliers";"俯\t视\t众\t生";;
"gold_battle_15_08_14_morning_total/name";"Golden Battles ""Summertime Madness!"" I";"Golden Battles « Saison Estivale en Folie! » I";"""Summertime Madness!"" - Golden Battles! 1";"Goldene Schlachten im Sommerzeit-Wahnsinn I";"Batallas Doradas ""¡Locura de verano!"" I";"Золотые бои. ""Летнее безумие!"" I";"Złote Bitwy ""Letnie Szaleństwo!"" I";"Zlaté bitvy ""Letní šílenství!"" I";"Altın Savaşları ""Yaz Çılgınlığı!"" I";"“\t疯\t狂\t一\t夏\t！\t”\t—\t—\t金\t鹰\t之\t战\t第\t一\t阶\t段";"ゴールデンバトル「サマータイム マッドネス！」\t I";"Batalhas de Ouro ''Loucura do Verão'' I";"Golden Battles ""Summertime Madness!"" I";"Золоті бої. ""Літнє безумство!"" I";"Zlatne Borbe ""Letnjo ludilo!"" I";"Arany csaták – „Nyári őrület” I";"골드 이벤트 ""여름의 광기!"" I";"Залатыя баі. ""Летняе шаленства!"" I";"Lupte de aur „Nebunia verii!” I";"“疯狂一夏！”——金鹰之战第一阶段";"“\t疯\t狂\t一\t夏\t！\t”\t—\t—\t金\t鹰\t之\t战\t第\t一\t阶\t段";;
"gold_battle_15_08_14_evening_total/name";"Golden Battles ""Summertime Madness!"" II";"Golden Battles « Saison Estivale en Folie! » II";"""Summertime Madness!"" - Golden Battles! 2";"Goldene Schlachten im Sommerzeit-Wahnsinn II";"Batallas Doradas ""¡Locura de verano!"" II";"Золотые бои. ""Летнее безумие!"" II";"Złote Bitwy ""Letnie Szaleństwo!"" II";"Zlaté bitvy ""Letní šílenství!"" II";"Altın Savaşları ""Yaz Çılgınlığı!"" II";"“\t疯\t狂\t一\t夏\t！\t”\t—\t—\t金\t鹰\t之\t战\t第\t二\t阶\t段";"ゴールデンバトル「サマータイム マッドネス！」\t II";"Batalhas de Ouro ''Loucura do Verão'' II";"Golden Battles ""Summertime Madness!"" II";"Золоті бої. ""Літнє безумство!"" II";"Zlatne Borbe ""Letnjo ludilo!"" II";"Arany csaták – „Nyári őrület” II";"골드 이벤트 ""여름의 광기!"" II";"Залатыя баі. ""Летняе шаленства!"" II";"Lupte de aur „Nebunia verii!” II";"“疯狂一夏！”——金鹰之战第二阶段";"“\t疯\t狂\t一\t夏\t！\t”\t—\t—\t金\t鹰\t之\t战\t第\t二\t阶\t段";;
"gold_battle_15_08_14_evening/name";"Golden Battles. Round 1";"Golden Battles. Round 1";"Golden Battles. Round 1";"Goldene Schlachten: Runde I";"Batallas Doradas. Ronda 1";"Золотые бои. Раунд 1";"Złote Bitwy. Runda 1";"Zlaté bitvy. Kolo 1";"Altın Savaşları. Round 1";"金\t鹰\t之\t战\t：\t回\t合\t 1";"ゴールデンバトル、\tラウンド 1";"Batalhas de Ouro. Ronda 1";"Golden Battles. Round 1";"Золоті бої. Раунд 1";"Zlatne Borbe. Runda 1";"Arany csaták – 1. forduló";"골드 이벤트 1라운드";"Залатыя баі. Раўнд 1";"Lupte de aur. Runda 1";"金鹰之战：回合 1";"金\t鹰\t之\t战\t：\t回\t合\t 1";;
"gold_battle_16_08_14_morning/name";"Golden Battles. Round 2";"Golden Battles. Round 2";"Golden Battles. Round 2";"Goldene Schlachten: Runde II";"Batallas Doradas. Ronda 2";"Золотые бои. Раунд 2";"Złote Bitwy. Runda 2";"Zlaté bitvy. Kolo 2";"Altın Savaşları. Round 2";"金\t鹰\t之\t战\t：\t回\t合\t 2";"ゴールデンバトル、\tラウンド 2";"Batalhas de Ouro. Ronda 2";"Golden Battles. Round 2";"Золоті бої. Раунд 2";"Zlatne Borbe. Runda 2";"Arany csaták – 2. forduló";"골드 이벤트 2라운드";"Залатыя баі. Раўнд 2";"Lupte de aur. Runda 2";"金鹰之战：回合 2";"金\t鹰\t之\t战\t：\t回\t合\t 2";;
"gold_battle_17_08_14_morning/name";"Golden Battles. Round 3. Stage";"Golden Battles. Round 3, Stage";"Golden Battles. Round 3";"Goldene Schlachten: Runde III";"Batallas Doradas. Ronda 3. Etapa";"Золотые бои. Раунд 3. Ступень";"Złote Bitwy. Runda 3. Etap";"Golden Battles. Round 3. Stage";"Altın Savaşları. Round 3. Etap";"金\t鹰\t之\t战\t：\t回\t合\t 3";"ゴールデンバトル、\tラウンド 3。\tステージ";"Batalhas de Ouro. Ronda 3. Fase";"Golden Battles. Round 3. Stage";"Золоті бої. Раунд 3. Ступінь";"Zlatne Borbe. Runda 3. Nivo";"Arany csaták – 3. forduló";"골드 이벤트 3라운드";"Залатыя баі. Раўнд 3. Ступень";"Lupte de aur. Runda 3. Stagiu";"金鹰之战：回合 3";"金\t鹰\t之\t战\t：\t回\t合\t 3";;
"gold_battle_17_08_14_evening/name";"Golden Battles. Round 4. Stage";"Golden Battles. Round 4, Stage";"Golden Battles. Round 4";"Goldene Schlachten: Runde IV";"Batallas Doradas. Ronda 4. Etapa";"Золотые бои. Раунд 4. Ступень";"Złote Bitwy. Runda 4. Etap";"Golden Battles. Round 4. Stage";"Altın Savaşları. Round 4. Etap";"金\t鹰\t之\t战\t：\t回\t合\t 4";"ゴールデンバトル、\tラウンド 4。\tステージ";"Batalhas de Ouro. Ronda 4. Fase";"Golden Battles. Round 4. Stage";"Золоті бої. Раунд 4. Ступінь";"Zlatne Borbe. Runda 4. Nivo";"Arany csaták – 4. forduló";"골드 이벤트 4라운드";"Залатыя баі. Раўнд 4. Ступень";"Lupte de aur. Runda 4. Stagiu";"金鹰之战：回合 4";"金\t鹰\t之\t战\t：\t回\t合\t 4";;
"tank_duels";"Tank duels:";"Duels de chars :";"Duello tra carri:";"Panzerduelle:";"Duelos del tanque:";"Танковые дуэли:";"Pojedynki czołgów:";"Tankové souboje:";"Tank düelloları:";"陆\t战\t对\t决\t：";"戦車対決:";"Duelos de tanques:";"Tank duels:";"Танкові дуелі:";"Tenkovski dueli:";"Harckocsipárbajok:";"전차 대결:";"Танкавыя паядынкі:";"Duel tancuri:";"坦克对决";"陆\t战\t对\t决\t：";;
"missions/phiphi_race";"Formula War Thunder";"Formula War Thunder";"Formula War Thunder";"Formel War Thunder";"Formula War Thunder";"Формула War Thunder";"Formuła War Thunder";"Formule War Thunder";"Formula War Thunder";"沃\t尔\t·\t桑\t德\t方\t程\t式\t锦\t标\t赛";"フォーミュラウオーサンダー";"Fórmula War Thunder";"Formula War Thunder";"Формула War Thunder";"Formula War Thunder";"Formula War Thunder";"포뮬러 워썬더";"Формула War Thunder";"Cursă War Thunder";"【竞速赛】披披群岛（长）";"战\t争\t雷\t霆\t方\t程\t式\t锦\t标\t赛";;
"missions/phiphi_race_3rd_rank_v1_straight";"[Formula War Thunder] First stage (3th rank)";"[Formula War Thunder] Première étape (3ème rang)";"[Formula War Thunder] Prima parte (Era 3)";"[Formula War Thunder] Phase I (Rang III)";"[Formula War Thunder] Primera etapa (3er rango)";"[Формула War Thunder] Первый этап (3-й ранг)";"[Formula War Thunder] Etap pierwszy (3. era)";"[Formule War Thunder] První část (III. úroveň)";"[Formula War Thunder] Birinci aşama (3. kademe)";"【\t战\t雷\t方\t程\t式\t】\t第\t一\t阶\t段\t（\tIII \t级\t）";"[WarThunder 公式] 1st\tステージ (ランク\tIII)";"[Fórmula War Thunder] Primeira fase (Patente 3)";"[Formula War Thunder] First stage (3th rank)";"[Формула War Thunder] Перший етап (3-й ранг)";"[Formula War Thunder]  Prva etapa (3. rang)";"[Formula War Thunder] Első forduló (III. rang)";"[워썬더 포뮬러] 첫째 판 (3랭크)";"[Формула War Thunder] Першы этап (3-і ранг)";"[Cursă War Thunder] Stagiul 1 (rangul III)";"[Formula War Thunder] First stage (3th rank)";"【\t战\t雷\t方\t程\t式\t】\t第\t一\t阶\t段\t（\tIII \t级\t）";;
"missions/phiphi_race_3rd_rank_v1_inverted";"[Formula War Thunder] Second stage (3rd rank)";"[Formula War Thunder] Deuxième étape (3ème rang)";"[Formula War Thunder] Seconda parte (Era 3)";"[Formula War Thunder] Phase II (Rang III)";"[Formula War Thunder] Segunda etapa (3er rango)";"[Формула War Thunder] Второй этап (3-й ранг)";"[Formula War Thunder] Etap drugi (3. era)";"[Formule War Thunder] Druhá část (III. úroveň)";"[Formula War Thunder] İkinci aşama (3. kademe)";"【\t战\t雷\t方\t程\t式\t】\t第\t二\t阶\t段\t（\tIII \t级\t）";"[WarThunder 公式] 2nd\tステージ (ランク\tIII)";"[Fórmula War Thunder] Segunda fase (Patente 3)";"[Formula War Thunder] Second stage (3rd rank)";"[Формула War Thunder] Другий етап (3-й ранг)";"[Formula War Thunder] Druga etapa (3. rang)";"[Formula War Thunder] Második forduló (III. rang)";"[워썬더 포뮬러] 둘째 판 (3랭크)";"[Формула War Thunder] Другі этап (3-і ранг)";"[Cursă War Thunder] Stagiul 2 (rangul III)";"[Formula War Thunder] Second stage (3rd rank)";"【\t战\t雷\t方\t程\t式\t】\t第\t二\t阶\t段\t（\tIII \t级\t）";;
"missions/phiphi_race_3rd_rank_v2_straight";"[Formula War Thunder] Third stage (3rd rank)";"[Formula War Thunder] Troisième étape (3ème rang)";"[Formula War Thunder] Terza parte (Era 3)";"[Formula War Thunder] Phase III (Rang III)";"[Formula War Thunder] Tercera etapa (3er rango)";"[Формула War Thunder] Третий этап (3-й ранг)";"[Formuła War Thunder] Etap trzeci ( III era)";"[Formule War Thunder] Třetí část (III. úroveň)";"[Formula War Thunder] Üçüncü etap (3. sıra)";"【\t战\t雷\t方\t程\t式\t】\t第\t三\t阶\t段\t（\tIII \t级\t）";"[WarThunder 公式] 3rd\tステージ (ランク\tIII)";"[Fórmula War Thunder] Terceira fase (Patente 3)";"[Formula War Thunder] Third stage (3rd rank)";"[Формула War Thunder] Третій етап (3-й ранг)";"[Formula War Thunder]  Treća etapa (3. rang)";"[Formula War Thunder] Harmadik forduló (III. rang)";"[워썬더 포뮬러] 셋째 판 (3랭크)";"[Формула War Thunder] Трэці этап (3-і ранг)";"[Cursă War Thunder] Stagiul 3 (rangul III)";"[Formula War Thunder] Third stage (3rd rank)";"【\t战\t雷\t方\t程\t式\t】\t第\t三\t阶\t段\t（\tIII \t级\t）";;
