"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"country_ussr_pilot_6";"Leonid Golubev";"Leonid Golubev";"Leonid Golubev";"Leonid Golubev";"Leonid Golubev";"Леонид Голубев";"Leonid Gołubiew";"Leonid Golubev";"Leonid Golubev";"里\t奥\t尼\t德\t·\t戈\t卢\t别\t夫";"レオニッド・グルベフ";"Leonid Golubev";"Leonid Golubev";"Леонід Голубєв";"Leonid Golubev";"Leonyid Golubev";"레오니트 골루볘브";"Леанід Голубеў";"««Leonid Golubev»»";"裡奧尼德•戈盧別夫";"里\t奥\t尼\t德\t·\t戈\t卢\t别\t夫";;
"country_ussr_pilot_7";"Eugene Zaitsev";"Eugene Zaitsev";"Eugene Zaitsev";"Eugene Zaitsev";"Eugene Zaitsev";"Евгений Зайцев";"Jewgienij Zajcew";"Evžen Zaicev";"Eugene Zaitsev";"尤\t金\t·\t扎\t伊\t采\t夫";"ユージーン・ザイツェフ";"Eugene Zaitsev";"Eugene Zaitsev";"Євген Зайцев";"Eugene Zaitsev";"Jevgenyij Zajcev";"유진 자이체프";"Яўген Зайцаў";"««Eugene Zaitsev»»";"尤金•紮伊采夫";"尤\t金\t·\t扎\t伊\t采\t夫";;
"country_ussr_pilot_8";"Ivan Kuznetsov";"Ivan Kuznetsov";"Ivan Kuznetsov";"Ivan Kuznetsov";"Ivan Kuznetsov";"Иван Кузнецов";"Iwan Kuzniecow";"Ivan Kuzněcov";"İvan Kuznetsov";"伊\t万\t·\t库\t兹\t涅\t佐\t夫";"イワン・クズネツォフ";"Ivan Kuznetsov";"Ivan Kuznetsov";"Іван Кузнєцов";"Ivan Kuznetsov";"Ivan Kuznyecov";"이반 쿠즈네초프";"Іван Кузняцоў";"««Ivan Kuznetsov»»";"伊萬•庫茲涅佐夫";"伊\t万\t·\t库\t兹\t涅\t佐\t夫";;
"country_ussr_pilot_9";"Semyon Zinchenko";"Semyon Zinchenko";"Semyon Zinchenko";"Semyon Zinchenko";"Semyon Zinchenko";"Семен Зинченко";"Siemion Zinczenko";"Semjon Zinčenko";"Semyon Zinchenko";"塞\t姆\t扬\t·\t津\t琴\t科";"セミョン・ジンチェンコ";"Semyon Zinchenko";"Semyon Zinchenko";"Семен Зінченко";"Semyon Zinchenko";"Szemjon Zincsenko";"세묜 진첸코";"Сямён Зінчанка";"««Semyon Zinchenko»»";"塞姆揚•津琴科";"塞\t姆\t扬\t·\t津\t琴\t科";;
"country_ussr_pilot_10";"Nicholas Maksimov";"Nicholas Maksimov";"Nicholas Maksimov";"Nicholas Maksimov";"Nicholas Maksimov";"Николай Максимов";"Nikołaj Maksimow";"Nikolas Maximov";"Nicholas Maksimov";"尼\t古\t拉\t斯\t·\t马\t克\t西\t莫\t夫";"ニコラス・マクシモフ";"Nicholas Maksimov";"Nicholas Maksimov";"Микола Максимов";"Nicholas Maksimov";"Nyikolaj Makszimov";"니콜라스 막시모프";"Мікалай Максімаў";"««Nicholas Maksimov»»";"尼古拉斯•馬克西莫夫";"尼\t古\t拉\t斯\t·\t马\t克\t西\t莫\t夫";;
"country_ussr_pilot_11";"Peter Rudenko";"Peter Rudenko";"Peter Rudenko";"Peter Rudenko";"Peter Rudenko";"Петр Руденко";"Piotr Rudenko";"Peter Ruděnko";"Peter Rudenko";"彼\t得\t·\t卢\t登\t科";"ピーター・ルーデンコ";"Peter Rudenko";"Peter Rudenko";"Петро Руденко";"Peter Rudenko";"Pjotr Rudenko";"피터 루덴코";"Пётр Рудэнка";"««Peter Rudenko»»";"彼得•盧登科";"彼\t得\t·\t卢\t登\t科";;
"country_ussr_pilot_12";"Victor Tokarev";"Victor Tokarev";"Victor Tokarev";"Victor Tokarev";"Victor Tokarev";"Виктор Токарев";"Wiktor Tokariew";"Viktor Tokarev";"Victor Tokarev";"维\t克\t多\t·\t托\t卡\t列\t夫";"ビクター・トカレフ";"Victor Tokarev";"Victor Tokarev";"Віктор Токарєв";"Victor Tokarev";"Viktor Tokarev";"빅터 토카레프";"Віктар Токараў";"««Victor Tokarev»»";"維克多•托卡列夫";"维\t克\t多\t·\t托\t卡\t列\t夫";;
"coop/Bot33";"Abelard";"Abelard";"Abelard";"Abelard";"Abelardo";"Abelard";"Abelard";"Abelard";"Abelard";"阿\t伯\t拉\t德";"アベラール";"Abelard";"Abelard";"Абелар";"Abelard";"Abelard";"아벨라르";"Abelard";"««Abelard»»";"Abelard";"牙\t缝\t里\t有\t青\t菜";;
"coop/Bot34";"Ada";"Ada";"Ada";"Ada";"Ada";"Ada";"Ada";"Ada";"Ada";"艾\t达";"エイダ";"Ada";"Ada";"Ада";"Ada";"Ada";"에이다";"Ada";"««Ada»»";"Ada";"阿\t凡\t提\t卖\t烤\t串";;
"coop/Bot35";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"Adalhard";"阿\t达\t尔\t哈\t特";"アーダルハルト";"Adalhard";"Adalhard";"Адалар";"Adalhard";"Adalhard";"아달하르트";"Adalhard";"««Adalhard»»";"Adalhard";"末\t日\t终\t结\t者";;
"coop/Bot36";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"Adalmar";"阿\t达\t尔\t马";"アダルマール";"Adalmar";"Adalmar";"Адельмар";"Adalmar";"Adalmar";"아달마르";"Adalmar";"««Adalmar»»";"Adalmar";"天\t天\t要\t抽\t烟";;
"coop/Bot37";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"Adalwulf";"阿\t达\t尔\t沃\t尔\t夫";"アダルウォルフ";"Adalwulf";"Adalwulf";"Адальвульф";"Adalwulf";"Adalwulf";"아달불프";"Adalwulf";"««Adalwulf»»";"Adalwulf";"夏\t天\t穿\t棉\t袄";;
"coop/Bot38";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"Agnethe";"阿\t格\t内\t特";"アグネッタ";"Agnethe";"Agnethe";"Агнета";"Agnethe";"Agnethe";"아그네테";"Agnethe";"««Agnethe»»";"Agnethe";"飞\t奔\t的\t乌\t龟";;
"coop/Bot39";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"Albrecht";"阿\t尔\t布\t雷\t西\t特";"アルブレヒト";"Albrecht";"Albrecht";"Альбрехт";"Albrecht";"Albrecht";"알브레흐트";"Albrecht";"««Albrecht»»";"Albrecht";"狂\t奔\t的\t蜗\t牛";;
"coop/Bot40";"Aldo";"Aldo";"Aldo";"Aldo";"Aldo";"Aldo";"Aldo";"Aldo";"Aldo";"奥\t尔\t多";"アルド";"Aldo";"Aldo";"Альдо";"Aldo";"Aldo";"알도";"Aldo";"««Aldo»»";"Aldo";"回\t忆\t太\t伤\t人";;
"coop/Bot41";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"Aldrich";"奥\t德\t里\t奇";"アルドリッチ";"Aldrich";"Aldrich";"Альдріх";"Aldrich";"Aldrich";"알드리히";"Aldrich";"««Aldrich»»";"Aldrich";"巨\t哼\t芭\t妃\t特";;
"coop/Bot42";"Alf";"Alf";"Alf";"Alf";"Alf";"Alf";"Alf";"Alf";"Alf";"阿\t尔\t夫";"アルフ";"Alf";"Alf";"Альф";"Alf";"Alf";"알프";"Alf";"««Alf»»";"Alf";"每\t天\t要\t上\t班";;
"coop/Bot43";"Alfons";"Alfons";"Alfons";"Alfons";"Alfonso";"Alfons";"Alfons";"Alfons";"Alfons";"阿\t尔\t方\t斯";"アルフォンス";"Alfons";"Alfons";"Альфонс";"Alfons";"Alfons";"알폰스";"Alfons";"««Alfons»»";"Alfons";"哭\t过\t的\t青\t春";;
"coop/Bot44";"Almerich";"Almerich";"Almerich";"Almerich";"Almerich";"Almerich";"Almerich";"Almerich";"Almerich";"阿\t尔\t梅\t利\t希";"アルメリック";"Almerich";"Almerich";"Альмеріх";"Almerich";"Almerich";"알메리히";"Almerich";"««Almerich»»";"Almerich";"别\t问\t我\t是\t哪\t个";;
"coop/Bot45";"Alrich";"Alrich";"Alrich";"Alrich";"Alrich";"Alrich";"Alrich";"Alrich";"Alrich";"阿\t尔\t利\t希";"アルドリッチ";"Alrich";"Alrich";"Альріх";"Alrich";"Alrich";"알리히";"Alrich";"««Alrich»»";"Alrich";"一\t口\t五\t头\t牛";;
"coop/Bot46";"Altman";"Altman";"Altman";"Altman";"Altman";"Altman";"Altman";"Altman";"Altman";"阿\t尔\t特\t曼";"アルトマン";"Altman";"Altman";"Альтман";"Altman";"Altman";"알트만";"Altman";"««Altman»»";"Altman";"我\t用\t双\t手\t打\t字";;
"coop/Bot47";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"Amalrich";"阿\t玛\t尔\t利\t希";"アマルリック";"Amalrich";"Amalrich";"Амальріх";"Amalrich";"Amalrich";"아말리히";"Amalrich";"««Amalrich»»";"Amalrich";"单\t手\t打\t字\t中";;
"coop/Bot48";"Anke";"Anke";"Anke";"Anke";"Anke";"Anke";"Anke";"Anke";"Anke";"安\t克";"アンケ";"Anke";"Anke";"Анке";"Anke";"Anke";"안케";"Anke";"««Anke»»";"Anke";"某\t科\t学\t电\t磁\t炮";;
"coop/Bot49";"Anshelm";"Anshelm";"Anshelm";"Anshelm";"Anselmo";"Anshelm";"Anshelm";"Anshelm";"Anshelm";"安\t斯\t赫\t尔\t姆";"アンセルムス";"Anshelm";"Anshelm";"Ансхельм";"Anshelm";"Anshelm";"안셸름";"Anshelm";"««Anshelm»»";"Anshelm";"小\t小\t青\t楼";;
"coop/Bot50";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"Arnwald";"阿\t恩\t斯\t瓦\t尔\t德";"アーンウォルド";"Arnwald";"Arnwald";"Арнвальд";"Arnwald";"Arnwald";"아른발트";"Arnwald";"««Arnwald»»";"Arnwald";"夜\t夜\t唱\t情\t歌";;
"coop/Bot51";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"Bardawulf";"巴\t尔\t达\t沃\t尔\t夫";"ボードウルフ";"Bardawulf";"Bardawulf";"Бардавульф";"Bardawulf";"Bardawulf";"바르다불프";"Bardawulf";"««Bardawulf»»";"Bardawulf";"身\t经\t百\t战";;
"coop/Bot52";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"Berahthraben";"贝\t拉\t特\t拉\t本";"ベビーラフトラベン";"Berahthraben";"Berahthraben";"Бератрабен";"Berahthraben";"Berahthraben";"베라흐트라벤";"Berahthraben";"««Berahthraben»»";"Berahthraben";"跑\t得\t比\t谁\t都\t快";;
"coop/Bot53";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"Berhtram";"伯\t特\t伦";"ベルトラム";"Berhtram";"Berhtram";"Бертрам";"Berhtram";"Berhtram";"베르트람";"Berhtram";"««Berhtram»»";"Berhtram";"无\t可\t奉\t告";;
"coop/Bot54";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"Bernhardt";"伯\t恩\t哈\t特";"ベルンハルト";"Bernhardt";"Bernhardt";"Бернхардт";"Bernhardt";"Bernhardt";"베른하르트";"Bernhardt";"««Bernhardt»»";"Bernhardt";"闷\t声\t发\t大\t财";;
"coop/Bot55";"Berthold";"Berthold";"Berthold";"Berthold";"Berthold";"Berthold";"Berthold";"Berthold";"Berthold";"贝\t特\t霍\t尔\t德";"ベルトルド";"Berthold";"Berthold";"Бертольд";"Berthold";"Berthold";"베르톨트";"Berthold";"««Berthold»»";"Berthold";"大\t新\t闻";;
"coop/Bot56";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"Burkhard";"布\t克\t哈\t德";"ブルクハルト";"Burkhard";"Burkhard";"Буркхард";"Burkhard";"Burkhard";"부르크하르트";"Burkhard";"««Burkhard»»";"Burkhard";"龙\t傲\t天";;
"coop/Bot57";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"Dedrich";"德\t德\t里\t希";"ディードリッヒ";"Dedrich";"Dedrich";"Дідріх";"Dedrich";"Dedrich";"데드리히";"Dedrich";"««Dedrich»»";"Dedrich";"吊\t炸\t天";;
"coop/Bot58";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"Dietmar";"迪\t特\t马\t尔";"ディトマー";"Dietmar";"Dietmar";"Дітмар";"Dietmar";"Dietmar";"디트마르";"Dietmar";"««Dietmar»»";"Dietmar";"巴\t菲\t特\t巨\t炮";;
"coop/Bot59";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"Dietrich";"迪\t特\t里\t希";"ディートリッヒ";"Dietrich";"Dietrich";"Дітріх";"Dietrich";"Dietrich";"디트리히";"Dietrich";"««Dietrich»»";"Dietrich";"狂\t砍\t一\t条\t街";;
"coop/Bot60";"Dirk";"Dirk";"Dirk";"Dirk";"Dirk";"Dirk";"Dirk";"Dirk";"Dirk";"迪\t尔\t克";"ディルク";"Dirk";"Dirk";"Дірк";"Dirk";"Dirk";"디르크";"Dirk";"««Dirk»»";"Dirk";"黄\t金\t大\t炮\t阻";;
"coop/Bot61";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"Eberhard";"埃\t伯\t哈\t德";"エバーハルト";"Eberhard";"Eberhard";"Еберхард";"Eberhard";"Eberhard";"에버하르트";"Eberhard";"««Eberhard»»";"Eberhard";"怒\t砍\t一\t路";;
"coop/Bot62";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"Echhardt";"埃\t希\t哈\t特";"エックハルト";"Echhardt";"Echhardt";"Екхард";"Echhardt";"Echhardt";"에흐하르트";"Echhardt";"««Echhardt»»";"Echhardt";"斯\t勃\t大\t爷";;
"coop/Bot63";"Eduard";"Eduard";"Eduard";"Eduard";"Eduardo";"Eduard";"Eduard";"Eduard";"Eduard";"爱\t德\t华";"エドワード";"Eduard";"Eduard";"Едуард";"Eduard";"Eduard";"에두아르트";"Eduard";"««Eduard»»";"Eduard";"米\t格\t爸\t爸";;
"coop/Bot64";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"Emmerich";"埃\t梅\t里\t希";"エメリッヒ";"Emmerich";"Emmerich";"Еммеріх";"Emmerich";"Emmerich";"에머리히";"Emmerich";"««Emmerich»»";"Emmerich";"无\t可\t奉\t告";;
"coop/Bot65";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"Engelbert";"恩\t格\t尔\t贝\t特";"エンゲルベルト";"Engelbert";"Engelbert";"Енгельберт";"Engelbert";"Engelbert";"엥겔베르트";"Engelbert";"««Engelbert»»";"Engelbert";"谈\t笑\t风\t生";;
"coop/Bot66";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"Erdmann";"埃\t德\t曼";"エルトマン";"Erdmann";"Erdmann";"Ердман";"Erdmann";"Erdmann";"에르트만";"Erdmann";"««Erdmann»»";"Erdmann";"人\t生\t经\t验";;
"coop/Bot67";"Erhard";"Erhard";"Erhard";"Erhard";"Erhard";"Erhard";"Erhard";"Erhard";"Erhard";"埃\t哈\t德";"エアハルト";"Erhard";"Erhard";"Ерхард";"Erhard";"Erhard";"에르하르트";"Erhard";"««Erhard»»";"Erhard";"拆\t迁\t办";;
"coop/Bot68";"Erwin";"Erwin";"Erwin";"Erwin";"Erwin";"Erwin";"Erwin";"Erwin";"Erwin";"埃\t尔\t温";"アーウェン";"Erwin";"Erwin";"Ервін";"Erwin";"Erwin";"에르빈";"Erwin";"««Erwin»»";"Erwin";"大\t炸\t比";;
"coop/Bot69";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"Friedhelm";"弗\t里\t德\t黑\t尔\t姆";"フリードヘルム";"Friedhelm";"Friedhelm";"Фрідхельм";"Friedhelm";"Friedhelm";"프리드헬름";"Friedhelm";"««Friedhelm»»";"Friedhelm";"火\t箭\t狗";;
"coop/Bot70";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"Friedrich";"弗\t里\t德\t里\t希";"フリードリヒ";"Friedrich";"Friedrich";"Фрідріх";"Friedrich";"Friedrich";"프리드리히";"Friedrich";"««Friedrich»»";"Friedrich";"SerB";;
"coop/Bot71";"Fritz";"Fritz";"Fritz";"Fritz";"Fritz";"Fritz";"Fritz";"Fritz";"Fritz";"弗\t里\t茨";"フリッツ";"Fritz";"Fritz";"Фрітц";"Fritz";"Fritz";"프리츠";"Fritz";"««Fritz»»";"Fritz";"血\t条\t世\t界";;
"coop/Bot72";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"Gamhard";"加\t姆\t哈\t德";"ガムハルト";"Gamhard";"Gamhard";"Гамхард";"Gamhard";"Gamhard";"감하르트";"Gamhard";"««Gamhard»»";"Gamhard";"千\t岛\t湖";;
"coop/Bot73";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"Gaufrid";"高\t弗\t里\t德";"ガウフリート";"Gaufrid";"Gaufrid";"Гауфрід";"Gaufrid";"Gaufrid";"가우프리트";"Gaufrid";"««Gaufrid»»";"Gaufrid";"黑\t洞\t装\t甲";;
"coop/Bot74";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"Gebbert";"格\t贝\t尔\t特";"ゲバート";"Gebbert";"Gebbert";"Гебберт";"Gebbert";"Gebbert";"게베르트";"Gebbert";"««Gebbert»»";"Gebbert";"打\t得\t漂\t亮";;
"coop/Bot75";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"Gerhardt";"格\t尔\t哈\t特";"ゲールハルト";"Gerhardt";"Gerhardt";"Герхардт";"Gerhardt";"Gerhardt";"게르하르트";"Gerhardt";"««Gerhardt»»";"Gerhardt";"重\t伤\t不\t掉\t血";;
"coop/Bot76";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"Gerrit";"格\t里\t特";"ゲリット";"Gerrit";"Gerrit";"Герріт";"Gerrit";"Gerrit";"게리트";"Gerrit";"««Gerrit»»";"Gerrit";"向\t我\t开\t炮";;
"coop/Bot77";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"Gertraud";"格\t尔\t特\t劳\t德";"ゲルトラウト";"Gertraud";"Gertraud";"Гертрауд";"Gertraud";"Gertraud";"게르트라우트";"Gertraud";"««Gertraud»»";"Gertraud";"菜\t园\t里\t的\t猪";;
"coop/Bot78";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"Gerwulf";"格\t尔\t沃\t尔\t夫";"ゲルブルプ";"Gerwulf";"Gerwulf";"Гервульф";"Gerwulf";"Gerwulf";"게르불프";"Gerwulf";"««Gerwulf»»";"Gerwulf";"华\t莱\t士";;
"coop/Bot79";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"Gisfrid";"吉\t斯\t弗\t里\t德";"ガルフリッド";"Gisfrid";"Gisfrid";"Гісфрід";"Gisfrid";"Gisfrid";"기스프리트";"Gisfrid";"««Gisfrid»»";"Gisfrid";"电\t视\t机\t电\t冰\t箱";;
"coop/Bot80";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"Gottfried";"戈\t特\t弗\t里\t德";"ゴットフリート";"Gottfried";"Gottfried";"Годфрід";"Gottfried";"Gottfried";"고트프리트";"Gottfried";"««Gottfried»»";"Gottfried";"米\t老\t鼠\t与\t刘\t老\t根";;
"coop/Bot81";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"Gotthard";"戈\t特\t哈\t德";"ゴットハルト";"Gotthard";"Gotthard";"Готхард";"Gotthard";"Gotthard";"고트하르트";"Gotthard";"««Gotthard»»";"Gotthard";"我\t真\t没\t带\t炮\t弹";;
"coop/Bot82";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"Gottlieb";"戈\t特\t里\t布";"ゴットリーブ";"Gottlieb";"Gottlieb";"Готліб";"Gottlieb";"Gottlieb";"고틀리프";"Gottlieb";"««Gottlieb»»";"Gottlieb";"中\t国\t远\t征\t军";;
"coop/Bot83";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"Gottshalk";"戈\t特\t沙\t尔\t克";"ゴットシャルク";"Gottshalk";"Gottshalk";"Гоцхалк";"Gottshalk";"Gottshalk";"고트샬크";"Gottshalk";"««Gottshalk»»";"Gottshalk";"东\t山\t文\t化";;
"coop/Bot84";"Gotz";"Gotz";"Gotz";"Gotz";"Gotz";"Gotz";"Gotz";"Gotz";"Gotz";"格\t茨";"ゲッツ";"Gotz";"Gotz";"Гец";"Gotz";"Gotz";"고츠";"Gotz";"««Gotz»»";"Gotz";"看\t见\t我\t你\t就\t死";;
"coop/Bot85";"Griselda";"Griselda";"Griselda";"Griselda";"Griselda";"Griselda";"Griselda";"Griselda";"Griselda";"格\t里\t瑟\t尔\t达";"グリゼルダ";"Griselda";"Griselda";"Гризельда";"Griselda";"Griselda";"그리젤다";"Griselda";"««Griselda»»";"Griselda";"魔\t力\t绵\t绵";;
"coop/Bot86";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"Hamprecht";"汉\t普\t雷\t西\t特";"ハムプレックス";"Hamprecht";"Hamprecht";"Хампрехт";"Hamprecht";"Hamprecht";"함프레흐트";"Hamprecht";"««Hamprecht»»";"Hamprecht";"下\t山\t的\t五\t九";;
"coop/Bot87";"Hans";"Hans";"Hans";"Hans";"Hans";"Hans";"Hans";"Hans";"Hans";"汉\t斯";"ハンス";"Hans";"Hans";"Ганс";"Hans";"Hans";"한스";"Hans";"««Hans»»";"Hans";"天\t朝\t城\t管";;
"coop/Bot88";"Harald";"Harald";"Harald";"Harald";"Harald";"Harald";"Harald";"Harald";"Harald";"哈\t拉\t尔\t德";"ハラルド";"Harald";"Harald";"Харальд";"Harald";"Harald";"하랄드";"Harald";"««Harald»»";"Harald";"三\t千\t城\t管";;
"coop/Bot89";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"Hartmann";"哈\t特\t曼";"ハルトマン";"Hartmann";"Hartmann";"Хартман";"Hartmann";"Hartmann";"하르트만";"Hartmann";"««Hartmann»»";"Hartmann";"八\t千\t乘\t一\t千";;
"coop/Bot90";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"Hartwig";"哈\t特\t维\t希";"ハートウィグ";"Hartwig";"Hartwig";"Хартвіг";"Hartwig";"Hartwig";"하르트비히";"Hartwig";"««Hartwig»»";"Hartwig";"小\t猥\t琐";;
"coop/Bot91";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"Heilgar";"海\t尔\t加";"ハイルガー";"Heilgar";"Heilgar";"Хайльгар";"Heilgar";"Heilgar";"하일가르";"Heilgar";"««Heilgar»»";"Heilgar";"谈\t笑\t风\t生";;
"coop/Bot92";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"Heimbrecht";"海\t姆\t布\t雷\t希\t特";"ヘイメブレックス";"Heimbrecht";"Heimbrecht";"Хаймбрехт";"Heimbrecht";"Heimbrecht";"하임브레흐트";"Heimbrecht";"««Heimbrecht»»";"Heimbrecht";"人\t生\t经\t验";;
"coop/Bot93";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"Heimerich";"海\t梅\t里\t希";"ヘイメリッヒ";"Heimerich";"Heimerich";"Хаймеріх";"Heimerich";"Heimerich";"하이머리히";"Heimerich";"««Heimerich»»";"Heimerich";"幺\t五\t二\t神\t教";;
"coop/Bot94";"Helmuth";"Helmuth";"Helmuth";"Helmuth";"Helmuth";"Helmuth";"Helmuth";"Helmut";"Helmuth";"赫\t尔\t穆\t特";"ヘルムート";"Helmuth";"Helmuth";"Гельмунт";"Helmuth";"Helmuth";"헬무트";"Helmuth";"««Helmuth»»";"Helmuth";"郭\t德\t纲\t他\t爸";;
"coop/Bot95";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"Hrodgar";"赫\t罗\t德\t加";"フロッガー";"Hrodgar";"Hrodgar";"Хротгар";"Hrodgar";"Hrodgar";"흐로트가르";"Hrodgar";"««Hrodgar»»";"Hrodgar";"傲\t世\t龙\t魂\t阁";;
"coop/Bot96";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"Hrodrick";"赫\t罗\t德\t里\t克";"フリッグ";"Hrodrick";"Hrodrick";"Хродрік";"Hrodrick";"Hrodrick";"흐로트리크";"Hrodrick";"««Hrodrick»»";"Hrodrick";"辽\t宁\t舰\t二\t号";;
"coop/Bot97";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"Hrodwulf";"赫\t罗\t德\t沃\t尔\t夫";"フロットブルプ";"Hrodwulf";"Hrodwulf";"Хродвульф";"Hrodwulf";"Hrodwulf";"흐로트불프";"Hrodwulf";"««Hrodwulf»»";"Hrodwulf";"战\t舰\t压\t码\t头";;
"coop/Bot98";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"Hrotger";"赫\t罗\t特\t格";"フロットゲル";"Hrotger";"Hrotger";"Хротгер";"Hrotger";"Hrotger";"흐로트게르";"Hrotger";"««Hrotger»»";"Hrotger";"虎\t啸\t库\t尔\t斯\t克";;
