"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"missions/asia_4roads_frontline_GS/desc";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Dans cette mission, vous devez détruire des véhicules ennemis au sol et compléter d'autres objectifs pour gagner. Chaque véhicule détruit compte pour le résultat !";"In questa missione, devi distruggere le unità terrestri e svolgere altri compiti per vincere. Ogni unità distrutta influisce sul risultato!";"Die Aufgabe in dieser Mission ist die Zerstörung von feindlichen Bodentruppen und Erfüllung weiterer Kampfaufträge. Jede zerstörte Bodeneinheit beeinflusst den Ausgang der Schlacht!";"En esta misión, para ganar, debes destruir los vehículos terrestres del enemigo y cumplir otras tareas ¡Cada unidad que destruyas afecta en el resultado!";"В этой миссии вам необходимо уничтожать наземную технику противника и выполнять сопутствующие задания для достижения победы. Каждая уничтоженная единица техники влияет на результат!";"W tej misji musisz zniszczyć pojazdy wroga i wypełnić pozostałe zadania aby zwyciężyć. Każda zniszczona jednostka wpływa na wynik!";"V této misi musíte zničit nepřátelská vozidla a splnit další úkoly. Každá zničená jednotka má vliv na výsledek!";"Bu görevde kazanmak için düşmanın kara araçlarını imha et ve diğer görevleri tamamla. İmha edilen her birim sonucu etkileyecektir!";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";"この\tミッションでは\t相手の\t地上部隊を\t撃破するとともに、\tほかの\t任務も\t完遂しなくてはなりません。\t撃破されたすべての\tユニットが\t結果に\t反映されます。";"Nesta missão, você tem de destruir os veículos terrestres do inimigo e realizar outras tarefas para ganhar. Quaisquer unidades destruídas afetam o resultado!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"У цій місії вам необхідно знищувати наземну техніку противника і виконувати супутні завдання для досягнення перемоги. Кожна знищена одиниця техніки впливає на результат!";"U ovoj misiji morate da uništite kopnene jedinice neprijatelja i ispunite druge zadatke da bi pobedili. Svaka uništena jedinica utiče na rezultat!";"Semmisítsd meg az ellenséges szárazföldi járműveket és teljesíts egyéb feladatokat a győzelem érdekében. Minden megsemmisített egység befolyásolja az eredményt!";"이 임무에서 승리하기 위해서는 적의 지상 차량을 격파하고 다른 과제를 충족해야 한다. 한 대 한 대 파괴할 때마다 결과에 영향을 미친다!";"Каб перамагчы ў гэтай місіі, знішчайце варожую наземную тэхніку і адначасова выконвайце іншыя баявыя задачы. Кожная знішчаная варожая адзінка ўплывае на вынік!";"În această misiune trebuie distruse vehiculele terestre ale inamicului și îndeplinite alte sarcini pentru a câștiga. Fiecare unitate distrusă afectează rezultatul!";"在本任务中，玩家必须摧毁敌军的地面目标，并完成一系列任务才能获胜。你所摧毁的每一个单位都将影响战争进程！";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";;
"missions/stalingrad_I2M";"[Enduring Confrontation] Stalingrad";"[Enduring Confrontation] Stalingrad";"[Scontro di Resistenza] Stalingrado";"[Anhaltende Konfrontation] Stalingrad";"[Confrontación Duradera] Stalingrado";"[Противостояние] Сталинград";"[Nieskończona konfrontacja] Stalingrad";"[Dlouhý střet] Stalingrad";"[Sürekli Çarpışmalar] Stalingrad";"【\t无\t间\t断\t作\t战\t】\t斯\t大\t林\t格\t勒";"[永久対立] スターリングラード";"[Enduring Confrontation] Estalinegrado";"[Enduring Confrontation] Stalingrad";"[Протистояння] Сталінград";"[Dug Sukob] Staljingrad";"[Elhúzódó összecsapás] Sztálingrád";"[항구적 대립 작전] 스탈린그라드";"[Супрацьстаянне] Сталінград";"[Confruntare de durată] Stalingrad";"【无间断作战】斯大林格勒";"【\t无\t间\t断\t作\t战\t】\t斯\t大\t林\t格\t勒";;
"missions/stalingrad_I2M/desc";"Achieve air superiority by destroying enemy aircraft, bases and ground forces.";"Obtenez la supériorité aérienne en détruisant les avions, bases et forces terrestres ennemies.";"Ottieni la supremazia aerea distruggendo aerei , basi e unità terrestri nemiche.";"Erlange Luftüberlegenheit durch die Zerstörung feindlicher Flugzeuge, Basen und Bodentruppen.";"Consigue superioridad aérea destruyendo aviones enemigos, bases y fuerzas terrestres.";"Добейтесь превосходства в воздухе, уничтожая самолёты, базы и наземную технику противника.";"Uzyskaj przewagę powietrzną niszcząc wrogie samoloty, bazy i jednostki naziemne.";"Dosáhněte letecké převahy zničením nepřátelských letadel, základen a pozemních jednotek";"Düşman uçaklarını, üslerini ve kara birimlerini yok ederek hava hakimiyet puanları kazan.";"摧\t毁\t敌\t军\t的\t空\t中\t单\t位\t、\t地\t面\t部\t队\t和\t基\t地\t，\t尽\t一\t切\t可\t能\t维\t持\t空\t中\t优\t势\t。";"敵機、\t基地、\t地上軍を\t破壊することによって\t制空権を\t奪取せよ";"Conquiste a superioridade aérea destruindo aeronaves, bases e forças terrestres inimigas.";"Achieve air superiority by destroying enemy aircraft, bases and ground forces.";"Досягніть переваги в повітрі, знищуючи літаки, бази і наземну техніку противника.";"Ostvarite vazdušnu superiornost uništavajući neprijateljske avione, baze i kopnene jedinice.";"Szerezz légi fölényt az ellenséges repülőgépek, bázisok és szárazföldi erők megsemmisítésével.";"적의 항공기와 기지, 지상군을 격파하여 공중우세를 달성하라.";"Дасягніце перавагі ў паветры, знішчаючы варожую авіяцыю, наземную тэхніку і базы.";"Obține superioritatea aeriană prin distrugerea avioanelor inamice, a bazelor și a trupelor terestre.";"摧毁敌军的空中单位、地面部队和基地，尽一切可能维持空中优势。";"摧\t毁\t敌\t军\t的\t空\t中\t单\t位\t、\t地\t面\t部\t队\t和\t基\t地\t，\t尽\t一\t切\t可\t能\t维\t持\t空\t中\t优\t势\t。";;
"missions/stalingrad_frontline_GS";"[Front Line] Great River";"[Front Line] Fleuve";"[Prima linea] Fiume Volga";"[Frontlinie] Großer Fluss";"[Primera Línea] Gran Río";"[Линия фронта] Великая река";"[Linia Frontu] Wielka rzeka";"[Frontová linie] Velká řeka";"[Cephe] Büyük Nehir";"【\t前\t线\t作\t战\t】\t斯\t大\t林\t格\t勒";"[前線] 大きな\t川";"[Front Line] Grande Rio";"[Front Line] Great River";"[Лінія фронту] Велика ріка";"[Linija Fronta] Velika Reka";"[Frontvonal] Nagy folyó";"[최전선] 드넓은 강";"[Лінія фронту] Вялікая рака";"[Linia frontului] Marele râu";"【前线作战】斯大林格勒";"【\t前\t线\t作\t战\t】\t斯\t大\t林\t格\t勒";;
"missions/stalingrad_frontline_GS/desc";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Dans cette mission, vous devez détruire des véhicules ennemis au sol et compléter d'autres objectifs pour gagner. Chaque véhicule détruit compte pour le résultat !";"In questa missione devi distruggere i veicoli di terra nemici e compiere altre attività al fine di vincere.  Ogni unità distrutta influenza il risultato!";"Die Aufgabe in dieser Mission ist die Zerstörung von feindlichen Bodentruppen und Erfüllung weiterer Kampfaufträge. Jede zerstörte Bodeneinheit beeinflusst den Ausgang der Schlacht!";"En esta misión, para ganar, debes destruir los vehículos terrestres del enemigo y cumplir otras tareas ¡Cada unidad que destruyas afecta en el resultado!";"В этой миссии вам необходимо уничтожать наземную технику противника и выполнять сопутствующие задания для достижения победы. Каждая уничтоженная единица техники влияет на результат!";"W tej misji musisz zniszczyć jednostki naziemne wroga oraz wypełnić pozostałe zadania, aby zwyciężyć. Liczy się każda zniszczona jednostka!";"V této misi musíte zničit nepřátelská vozidla a splnit další úkoly. Každá zničená jednotka má vliv na výsledek!";"Bu görevde kazanmak için düşmanın kara araçlarını imha et ve diğer görevleri tamamla. İmha edilen her birim sonucu etkileyecektir!";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";"この\t任務は\t地上車両を\t破壊しつつ\t他の\t任務を\t果たす\t必要がある。\t破壊された\t全ての\tユニットは\t結果に\t影響する。";"Nesta missão, você tem de destruir os veículos terrestres do inimigo e realizar outras tarefas para ganhar. Quaisquer unidades destruídas afetam o resultado!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"У цій місії вам необхідно знищувати наземну техніку противника і виконувати супутні завдання для досягнення перемоги. Кожна знищена одиниця техніки впливає на результат!";"U ovoj misiji morate da uništite kopnene jedinice neprijatelja i ispunite druge zadatke da bi pobedili. Svaka uništena jedinica utiče na rezultat!";"Semmisítsd meg az ellenséges szárazföldi járműveket és teljesíts egyéb feladatokat a győzelem érdekében. Minden megsemmisített egység befolyásolja az eredményt!";"이 임무에서 승리하기 위해서는 적의 지상 차량을 격파하고 다른 과제를 충족해야 한다. 한 대 한 대 파괴할 때마다 결과에 영향을 미친다!";"Каб перамагчы ў гэтай місіі, знішчайце варожую наземную тэхніку і адначасова выконвайце іншыя баявыя задачы. Кожная знішчаная варожая адзінка ўплывае на вынік!";"În această misiune trebuie distruse vehiculele terestre ale inamicului și îndeplinite alte sarcini pentru a câștiga. Fiecare unitate distrusă afectează rezultatul!";"在本任务中，玩家必须摧毁敌军的地面目标，并完成一系列任务才能获胜。你所摧毁的每一个单位都将影响战争进程！";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";;
"missions/stalingrad_w_frontline_GS";"[Front Line] Winter Revenge";"[Ligne de front] Revanche d'Hiver";"[Prima Linea] Rivincita Invernale";"[Frontlinie] Winterrache";"[Primera Línea] Venganza de Invierno";"[Линия фронта] Зимний реванш";"[Linia Frontu] Zimowy odwet";"[Frontová linie] Zimní odplata";"[Front Line] Winter Revenge";"【\t前\t线\t作\t战\t】\t冬\t季\t大\t反\t攻";"[Front Line] Winter Revenge";"[Front Line] Vingança de Inverno";"[Front Line] Winter Revenge";"[Лінія фронту] Зимовий реванш";"[Front Line] Winter Revenge";"[Frontvonal] Téli bosszú";"[최전선] 겨울의 복수";"[Лінія фронту] Зімовы рэванш";"[Linia frontului] Răzbunarea de iarnă";"[Front Line] Winter Revenge";"【\t前\t线\t作\t战\t】\t冬\t季\t大\t反\t攻";;
"missions/stalingrad_w_frontline_GS/desc";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Dans cette mission, vous devez détruire des véhicules ennemis au sol et compléter d'autres objectifs pour gagner. Chaque véhicule détruit compte pour le résultat!";"In questa missione devi distruggere i veicoli di terra nemici e compiere altre attività al fine di vincere. Ogni unità distrutta influenza il risultato!";"In dieser Mission müssen, neben der Erfüllung weiterer Aufgaben, primär die Landfahrzeuge des Feindes zerstört werden. Jede zerstörte Einheit beeinflusst das Ergebnis!";"En esta misión, para ganar, debes destruir los vehículos terrestres del enemigo y cumplir otras tareas ¡Cada unidad que destruyas afecta en el resultado!";"В этой миссии вам необходимо уничтожать наземную технику противника и выполнять сопутствующие задания для достижения победы. Каждая уничтоженная единица техники влияет на результат!";"W tej misji musisz zniszczyć jednostki naziemne wroga oraz wypełnić pozostałe zadania, aby zwyciężyć. Liczy się każda zniszczona jednostka!";"V této misi musíte zničit nepřátelská vozidla a splnit další úkoly. Každá zničená jednotka má vliv na výsledek.";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Nesta missão, você tem de destruir os veículos terrestres do inimigo e realizar outras tarefas para ganhar. Quaisquer unidades destruídas afetam o resultado!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"У цій місії вам необхідно знищувати наземну техніку противника і виконувати супутні завдання для досягнення перемоги. Кожна знищена одиниця техніки впливає на результат!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Semmisítsd meg az ellenséges szárazföldi járműveket és teljesíts egyéb feladatokat a győzelem érdekében. Minden megsemmisített egység befolyásolja az eredményt!";"이 임무에서 승리하기 위해서는 적의 지상 차량을 격파하고 다른 과제를 충족해야 합니다. 한 대 한 대 파괴할 때마다 게임결과에 영향을 미칩니다!";"Каб перамагчы ў гэтай місіі, знішчайце варожую наземную тэхніку і адначасова выконвайце іншыя баявыя задачы. Кожная знішчаная варожая адзінка ўплывае на вынік!";"În această misiune trebuie distruse vehiculele terestre ale inamicului și îndeplinite alte sarcini pentru a câștiga. Fiecare unitate distrusă afectează rezultatul!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";;
"missions/norway_plain_frontline_GS";"[Front Line] Foothills";"[Front Line] Contreforts";"[Prima linea] Norvegia";"[Frontlinie] Vorgebirge";"[Primera Línea] Laderas";"[Линия фронта] Предгорья";"[Linia Frontu] Pogórze";"[Frontová linie] Předhůří";"[Cephe] Dağ etekleri";"【\t前\t线\t作\t战\t】\t挪\t威\t \t•\t \t山\t麓";"[前線] ふもとの\t小丘";"[Front Line] Sopé";"[Front Line] Foothills";"[Лінія фронту] Передгір'я";"[Linija Fronta] Podnožje";"[Frontvonal] Előhegység";"[최전선] 고원";"[Лінія фронту] Перадгор'і";"[Linia frontului] Colina";"【前线作战】挪威";"【\t前\t线\t作\t战\t】\t北\t欧";;
"missions/norway_plain_frontline_GS/desc";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"Dans cette mission, vous devez détruire des véhicules ennemis au sol et compléter d'autres objectifs pour gagner. Chaque véhicule détruit compte pour le résultat !";"In questa missione devi distruggere i veicoli di terra nemici e compiere altre attività al fine di vincere.  Ogni unità distrutta influenza il risultato!";"Die Aufgabe in dieser Mission ist die Zerstörung von feindlichen Bodentruppen und Erfüllung weiterer Kampfaufträge. Jede zerstörte Bodeneinheit beeinflusst den Ausgang der Schlacht!";"En esta misión, para ganar, debes destruir los vehículos terrestres del enemigo y cumplir otras tareas ¡Cada unidad que destruyas afecta en el resultado!";"В этой миссии вам необходимо уничтожать наземную технику противника и выполнять сопутствующие задания для достижения победы. Каждая уничтоженная единица техники влияет на результат!";"W tej misji musisz zniszczyć pojazdy wroga i wypełnić pozostałe zadania, aby zwyciężyć. Każda zniszczona jednostka wpływa na wynik!";"V této misi musíte zničit nepřátelská vozidla a splnit další úkoly. Každá zničená jednotka má vliv na výsledek!";"Bu görevde kazanmak için düşmanın kara araçlarını imha et ve diğer görevleri tamamla. İmha edilen her birim sonucu etkileyecektir!";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";"この\t任務は\t地上車両を\t破壊しつつ\t他の\t任務を\t果たす\t必要がある。\t破壊された\t全ての\tユニットは\t結果に\t影響する。";"Nesta missão, você tem de destruir os veículos terrestres do inimigo e realizar outras tarefas para ganhar. Quaisquer unidades destruídas afetam o resultado!";"In this mission, you have to destroy ground vehicles of the enemy and fulfil other tasks in order to win. Every destroyed unit affects the result!";"У цій місії вам необхідно знищувати наземну техніку противника і виконувати супутні завдання для досягнення перемоги. Кожна знищена одиниця техніки впливає на результат!";"U ovoj misiji morate da uništite kopnene jedinice neprijatelja i ispunite druge zadatke da bi pobedili. Svaka uništena jedinica utiče na rezultat!";"Semmisítsd meg az ellenséges szárazföldi járműveket és teljesíts egyéb feladatokat a győzelem érdekében. Minden megsemmisített egység befolyásolja az eredményt!";"이 임무에서 승리하기 위해서는 적의 지상 차량을 격파하고 다른 과제를 충족해야 한다. 한 대 한 대 파괴할 때마다 결과에 영향을 미친다!";"Каб перамагчы ў гэтай місіі, знішчайце варожую наземную тэхніку і адначасова выконвайце іншыя баявыя задачы. Кожная знішчаная варожая адзінка ўплывае на вынік!";"În această misiune trebuie distruse vehiculele terestre ale inamicului și îndeplinite alte sarcini pentru a câștiga. Fiecare unitate distrusă afectează rezultatul!";"在本任务中，玩家必须摧毁敌军的地面目标，并完成一系列任务才能获胜。你所摧毁的每一个单位都将影响战争进程！";"在\t本\t任\t务\t中\t，\t玩\t家\t必\t须\t摧\t毁\t敌\t军\t的\t地\t面\t目\t标\t，\t并\t完\t成\t一\t系\t列\t任\t务\t才\t能\t获\t胜\t。\t你\t所\t摧\t毁\t的\t每\t一\t个\t单\t位\t都\t将\t影\t响\t战\t争\t进\t程\t！";;
"missions/ruhr_I2M";"[Enduring Confrontation] Ruhr";"[Enduring Confrontation] Ruhr";"[Scontro di Resistenza] Ruhr";"[Anhaltende Konfrontation] Ruhrgebiet";"[Confrontación Duradera] Ruhr";"[Противостояние] Рур";"[Nieskończona Konfrontacja] Zagłębie Ruhry";"[Dlouhý střet] Porúří";"[Sürekli Çarpışmalar] Ruhr";"【\t无\t间\t断\t作\t战\t】\t鲁\t尔";"[永久対立] ルール";"[Confronto Prolongado] Ruhr";"[Enduring Confrontation] Ruhr";"[Протистояння] Рур";"[Bitka Izdržljivosti] Rur";"[Elhúzódó összecsapás] Ruhr-vidék";"[항구적 대립 작전] 루어";"[Супрацьстаянне] Рур";"[Confruntare de durată] Ruhr";"【无间断作战】鲁尔";"【\t无\t间\t断\t作\t战\t】\t鲁\t尔";;
"missions/ruhr_I2M/desc";"Achieve air superiority by destroying enemy aircraft, bases and ground forces.";"Obtenez la supériorité aérienne en détruisant les avions, bases et forces terrestres ennemies.";"Ottieni la supremazia aerea distruggendo aerei, basi e unità terrestri nemiche.";"Erlange Luftüberlegenheit durch die Zerstörung feindlicher Flugzeuge, Basen und Bodentruppen.";"Consigue superioridad aérea destruyendo aviones enemigos, bases y fuerzas terrestres.";"Добейтесь превосходства в воздухе, уничтожая самолёты, базы и наземную технику противника.";"Uzyskaj przewagę w powietrzu niszcząc wrogie samoloty, bazy i siły naziemne.";"Dosáhněte letecké převahy zničením nepřátelských letadel, základen a pozemních jednotek";"Düşman uçaklarını, üslerini ve kara birimlerini yok ederek hava hakimiyet puanları kazan.";"摧\t毁\t敌\t军\t的\t空\t中\t单\t位\t、\t地\t面\t部\t队\t和\t基\t地\t，\t尽\t一\t切\t可\t能\t维\t持\t空\t中\t优\t势\t。";"敵機、\t基地、\t地上軍を\t破壊することによって\t制空権を\t奪取せよ";"Conquiste a superioridade aérea destruindo aeronaves, bases e forças terrestres inimigas.";"Achieve air superiority by destroying enemy aircraft, bases and ground forces.";"Досягти переваги в повітрі шляхом знищення ворожих літаків, баз і наземних сил.";"Osvojite vazdušnu superiornost uništavanjem neprijateljskih letelica, baza i kopnenih jedinica.";"Szerezz légi fölényt az ellenséges repülőgépek, bázisok és szárazföldi erők megsemmisítésével.";"적의 항공기와 기지, 지상군을 격파하여 공중우세를 달성하라.";"Дасягніце перавагі ў паветры, знішчаючы варожую авіяцыю, наземную тэхніку і базы.";"Obține superioritatea aeriană prin distrugerea avioanelor inamice, a bazelor și a trupelor terestre.";"摧毁敌军的空中单位、地面部队和基地，尽一切可能维持空中优势。";"摧\t毁\t敌\t军\t的\t空\t中\t单\t位\t、\t地\t面\t部\t队\t和\t基\t地\t，\t尽\t一\t切\t可\t能\t维\t持\t空\t中\t优\t势\t。";;
"missions/korea_AD";"[Air Domination] Korea";"[Air Domination] Corée";"[Superiorità Aerea] Corea";"[Luftüberlegenheit] Korea";"[Dominación Aérea] Corea";"[Превосходство в воздухе] Корея";"[Dominacja w powietrzu] Korea";"[Vzdušná nadvláda] Korea";"[Hava hakimiyeti] Kore";"【\t空\t域\t控\t制\t】\t朝\t鲜\t \t•\t \t春\t川\t战\t役";"[制空] 韓国";"[Domínio Aéreo] Coreia";"[Air Domination] Korea";"[Домінування в повітрі] Корея";"[Vazdušna dominacija] Koreja";"[Légi fölény] Korea";"[공중 우세전] 한국";"[Перавага ў паветры] Карэя";"[Dominare aeriană] Coreea";"【空域控制】朝鲜 • 春川战役";"【\t空\t域\t控\t制\t】\t北\t方\t半\t岛";;
