"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"ussr_leningrad_def_medal/name";"Medal For the Defence of Leningrad";"Médaille pour la défense de Léningrad";"Medaglia per la Difesa di Leningrado";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Медаль За оборону Ленинграда";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Медаль За оборону Ленінграда";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";"Medalia „Pentru apărarea Leningradului”";"Medal For the Defence of Leningrad";"Medal For the Defence of Leningrad";;
"ussr_leningrad_def_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_hero/name";"Hero of USSR";"Héros de l'URSS";"Geroj Sovetskogo Sojuza";"Held der Sowjetunion";"Héroe de la URSS";"Медаль Золотая Звезда";"Bohater Związku Radzieckiego";"Hrdina Sovětského svazu";"SSCB Kahramanı";"“\t苏\t联\t英\t雄\t”\t勋\t章";"ソビエト\t連邦の\t英雄";"Geroy Sovetskogo Soyuza (Herói da URSS)";"Hero of USSR";"Герой Радянського Союзу ";"Heroj SSSR-a";"Szovjetunió Hőse";"소비에트 연방 영웅(Герой Советского Союза)";"Герой Савецкага Саюза";"Eroul URSS-ului";"“蘇聯英雄”勳章";"“\t苏\t联\t英\t雄\t”\t勋\t章";;
"ussr_hero/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_glory_order_3_class/name";"Order of Glory 3 class";"Ordre de la Gloire (3ème classe)";"Ordine della Gloria III classe";"Order of Glory 3 class";"Order of Glory 3 class";"Орден Славы 3 степени";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Орден Слави 3 ступеня";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Order of Glory 3 class";"Ordinul Gloriei Clasa 3";"Order of Glory 3 class";"Order of Glory 3 class";;
"ussr_glory_order_3_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_glory_order_2_class/name";"Order of Glory 2 class";"Ordre de la Gloire (2ème classe)";"Ordine della Gloria II classe";"Order of Glory 2 class";"Order of Glory 2 class";"Орден Славы 2 степени";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Орден Слави 2 ступеня";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Order of Glory 2 class";"Ordinul Gloriei Clasa 2";"Order of Glory 2 class";"Order of Glory 2 class";;
"ussr_glory_order_2_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_glory_order_1_class/name";"Order of Glory 1 class";"Ordre de la Gloire (1ère classe)";"Ordine della Gloria I classe";"Order of Glory 1 class";"Order of Glory 1 class";"Орден Славы 1 степени";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Орден Слави 1 ступеня";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Order of Glory 1 class";"Ordinul Gloriei Clasa 1";"Order of Glory 1 class";"Order of Glory 1 class";;
"ussr_glory_order_1_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_for_victory_over_japan_medal/name";"Medal For the Victory over Japan";"Médaille pour la victoire sur le Japon";"Medaglia per la Vittoria sul Giappone";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Медаль За победу над Японией";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Медаль За перемогу над Японією";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medal For the Victory over Japan";"Medalia „Pentru victoria asupra Japoniei”";"Medal For the Victory over Japan";"Medal For the Victory over Japan";;
"ussr_for_victory_over_japan_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_for_victory_over_germany_medal/name";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Médaille pour la victoire sur l'Allemagne dans la Grande Guerre patriotique de 1941-1945";"Medaglia per la Vittoria sulla Germania nella Grande Guerra Patriottica 1941-1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Медаль За победу над Германией в Великой Отечественной войне 1941—1945 гг";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941\t–\t1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Медаль За перемогу над Німеччиною у Великій Вітчизняній війні 1941-1945 рр";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medalia „Pentru victoria asupra Germaniei în Mare Război Patriotic”";"Medal For the Victory over Germany in the Great Patriotic War 1941–1945";"Medal For the Victory over Germany in the Great Patriotic War 1941\t–\t1945";;
"ussr_for_victory_over_germany_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_for_battle_merit_medal/name";"Medal For Battle Merit";"Médaille du mérite au combat";"Medaglia al Merito in Battaglia";"Medal For Battle Merit";"Medal For Battle Merit";"Медаль За боевые заслуги";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Медаль За бойові заслуги";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medal For Battle Merit";"Medalia „Pentru merite în luptă”";"Medal For Battle Merit";"Medal For Battle Merit";;
"ussr_for_battle_merit_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_caucasus_def_medal/name";"Medal For the Defence of the Caucasus";"Médaille pour la défense du Caucase";"Medaglia per la Difesa del Caucaso";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Медаль За оборону Кавказа";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Медаль За оборону Кавказу";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";"Medalia „Pentru apărarea Caucazului”";"Medal For the Defence of the Caucasus";"Medal For the Defence of the Caucasus";;
"ussr_caucasus_def_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_berlin_capture_medal/name";"Medal For the Capture of Berlin";"Médaille pour la capture de Berlin";"Medaglia per la Cattura di Berlino";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Медаль За взятие Берлина";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Медаль За взяття Берліна";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";"Medalia „Pentru capturarea Berlinului”";"Medal For the Capture of Berlin";"Medal For the Capture of Berlin";;
"ussr_berlin_capture_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_antiaircraft_badge/name";"Badge Excellent of the antiaircraft defense";"Insigne d""excellence en défense antiaérienne";"Distintivo per l'eccellenza nella difesa antiaerea";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Нагрудный знак Отличник ПВО";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Нагрудний знак Відмінник ППО";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";"Insigna „Luptător antiaerian excelent”";"Badge Excellent of the antiaircraft defense";"Badge Excellent of the antiaircraft defense";;
"ussr_antiaircraft_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"ussr_air_badge/name";"Badge Excellent of the Air force";"Insigne d'excellence de l’armée de l’Air";"Distintivo nell'eccellenza in Aeronautica";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Нагрудный знак Отличник ВВС";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Нагрудний знак Відмінник ВПС";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Badge Excellent of the Air force";"Insigna „Aviator excelent”";"Badge Excellent of the Air force";"Badge Excellent of the Air force";;
"ussr_air_badge/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_wwii_medal/name";"World War II Victory Medal";"Médaille de la victoire de la Seconde Guerre mondiale";"Medaglia per la Vittoria della Seconda Guerra Mondiale";"World War II Victory Medal";"World War II Victory Medal";"Медаль Победы во Второй мировой войне";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"Медаль Перемоги у Другій світовій війні";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"World War II Victory Medal";"Medalia „Victorie în al Doilea Război Mondial”";"World War II Victory Medal";"World War II Victory Medal";;
"usa_wwii_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_silver_star/name";"Silver Star";"Silver Star";"Silver Star";"Silber-Stern";"Estrella de plata";"Серебряная звезда";"Srebrna Gwiazda";"Stříbrná hvězda";"Gümüş Yıldız";"银\t星\t勋\t章";"銀星章
";"Silver Star";"Silver Star";"Срібна Зірка ";"Srebrna zvezda";"Ezüst Csillag";"은성 훈장(Silver Star)";"Срэбная зорка";"Steaua de argint";"銀星勳章";"银\t星\t勋\t章";;
"usa_silver_star/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_sign_pilot_navy/name";"Naval Aviator Badge";"Insigne de l'aéronavale";"Distintivo Aviatore Imbarcato";"Naval Aviator Badge";"Naval Aviator Badge";"Нагрудный знак летчик ВМФ";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Нагрудний знак льотчик ВМФ";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Naval Aviator Badge";"Insigna „Aviator maritim”";"Naval Aviator Badge";"Naval Aviator Badge";;
"usa_sign_pilot_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_sign_pilot/name";"Air Force Pilot Badge";"Insigne de pilote de l'Air Force";"Distintivo pilota aeronautica";"Air Force Pilot Badge";"Air Force Pilot Badge";"Нагрудный знак пилота";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Нагрудний знак пілота";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Air Force Pilot Badge";"Insigna „Pilot al Forțelor Aeriene”";"Air Force Pilot Badge";"Air Force Pilot Badge";;
"usa_sign_pilot/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_sign_gunner/name";"Air Force Aerial Gunner Badge";"Insigne de mitrailleur embarqué de l'Air Force";"Distintivo artigliere dell'aeronautica";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Нагрудный знак стрелка";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Нагрудний знак стрілка";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";"Insigna „Mitralior al Forțelor Aeriene”";"Air Force Aerial Gunner Badge";"Air Force Aerial Gunner Badge";;
"usa_sign_gunner/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_sign_bombardier/name";"Air Force Bombardier Badge";"Insigne de Bombardier de l'Air Force";"Distintivo bombardiere dell'aeronautica";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Нагрудный знак бомбардира";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Нагрудний знак бомбардира";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Air Force Bombardier Badge";"Insigna „Bombardier al Forțelor Aeriene”";"Air Force Bombardier Badge";"Air Force Bombardier Badge";;
"usa_sign_bombardier/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_service_medal_navy/name";"Navy Distinguished Service Medal";"Ordre du Service distingué (Navy)";"Medaglia di Distinto Servizio nella Marina";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Военно-морская медаль За выдающиеся заслуги";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Військово-морська медаль За видатні заслуги";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";"Medalia „Serviciu deosebit în marină”";"Navy Distinguished Service Medal";"Navy Distinguished Service Medal";;
"usa_service_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_service_medal_army/name";"Army Distinguished Service Medal";"Ordre du Service distingué (US Army)";"Medaglia di Distinto Servizio nell'Esercito";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Медаль армии За выдающиеся заслуги";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Медаль армії За видатні заслуги";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Army Distinguished Service Medal";"Medalia „Serviciu deosebit în armată”";"Army Distinguished Service Medal";"Army Distinguished Service Medal";;
"usa_service_medal_army/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_service_medal_air/name";"Air Force Distinguished Service Medal";"Ordre du Service distingué (USAF)";"Medaglia di Distinto Servizio nell'Aeronautica";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Медаль ВВС За выдающиеся заслуги";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Медаль ВПС За видатні заслуги";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";"Medalia „Serviciu deosebit în aviație”";"Air Force Distinguished Service Medal";"Air Force Distinguished Service Medal";;
"usa_service_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_pacific/name";"Asiatic-Pacific Campaign Medal";"Médaille de la campagne Asie-Pacifique";"Asiatic-Pacific Campaign Medal";"Asien-Pazifik-Feldzug Medaille";"Medalla de campaña en Asia-Pacífico";"Медаль За азиатско-тихоокеанскую компанию";"Medal za Kampanię w Azji i na Pacyfiku";"Medaile asijsko-tichomořské kampaně";"Asya-Pasifik Harekatı Madalyası";"亚\t洲\t-\t太\t平\t洋\t战\t役\t勋\t章";"太平洋戦従軍章
";"Asiatic-Pacific Campaign Medal";"Asiatic-Pacific Campaign Medal";"Медаль за Азіатсько-Тихоокеанську кампанію ";"Medalja Azijsko-Pacifičke Kampanje";"Ázsiai és csendes-óceáni hadjáratért érme";"아시아-태평양 종군 기장(Asiatic-Pacific Campaign Medal)";"Медаль за Азіяцка-Ціхаакіянскую кампанію";"Medalia campaniei Asia-Pacific";"亞洲-太平洋戰役勳章";"亚\t洲\t-\t太\t平\t洋\t战\t役\t勋\t章";;
"usa_pacific/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_navy_cross_2/name";"Navy Cross";"Navy Cross";"Croce della Marina";"Navy Cross";"Navy Cross";"Военно-морской крест";"Krzyż Marynarki";"Navy Cross";"Navy Cross";"Navy Cross";"Navy Cross";"Navy Cross";"Navy Cross";"Військово-морський хрест";"Navy Cross";"Navy Cross";"Navy Cross";"Navy Cross";"Steaua marinei";"Navy Cross";"Navy Cross";;
"usa_navy_cross_2/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_merits/name";"Legion of Merit";"Légion du Mérite";"Legion of Merit";"Legion des Verdienstes";"Legión del mérito";"Орден Легион почета";"Legia Zasłużonych";"Záslužná legie";"Liyakat Nişanı";"功\t勋\t勋\t章";"戦功章
";"Legion of Merit";"Legion of Merit";"Орден ""Легіон Пошани"" ";"Legija za Zasluge";"Becsületrend";"공로장(Legion of Merit)";"Ордэн ""За баявыя заслугі""";"Legiunea de merit";"功勳勳章";"功\t勋\t勋\t章";;
"usa_merits/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_korean_medal/name";"Korean Service Medal";"Médaille du service en Corée";"Medaglia di Servizio Coreano";"Korean Service Medal";"Korean Service Medal";"Медаль За службу в Корее";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Медаль За службу в Кореї";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Korean Service Medal";"Medalia „Serviciu coreean”";"Korean Service Medal";"Korean Service Medal";;
"usa_korean_medal/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_honor_medal_navy/name";"Navy Medal of Honor";"Médaille d'honneur (Navy)";"Medaglia d'Onore della Marina";"Navy Medal of Honor";"Navy Medal of Honor";"Медаль Почета ВМС";"Medal Honoru Marynarki Wojennej";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Медаль Пошани ВМС";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Navy Medal of Honor";"Medalia de Onoare a Marinei";"Navy Medal of Honor";"Navy Medal of Honor";;
"usa_honor_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_honor_medal_army/name";"Army Medal of Honor";"Médaille d'honneur (US Army)";"Medaglia d'Onore dell'Esercito";"Army Medal of Honor";"Army Medal of Honor";"Медаль Почета армия";"Medal Honoru Armii";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Медаль Пошани армія";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Army Medal of Honor";"Medalia de Onoare a Armatei";"Army Medal of Honor";"Army Medal of Honor";;
"usa_honor_medal_army/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_honor_medal_air/name";"Air Force Medal of Honor";"Médaille d'honneur (USAF)";"Medaglia d'Onore dell'Aeronautica";"Air Force Medal of Honor";"Air Force Medal of Honor";"Медаль Почета ВВС";"Medal Honoru Sił Powietrznych";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Медаль Пошани ВПС";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Air Force Medal of Honor";"Medalia de Onoare a Aviației";"Air Force Medal of Honor";"Air Force Medal of Honor";;
"usa_honor_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_heart/name";"Purple Heart";"Purple Heart";"Purple Heart";"Purpurherz";"Corazón púrpura";"Медаль Пурпурное сердце";"Purpurowe Serce";"Purpurové srdce";"Gazi Madalyası";"紫\t心\t勋\t章";"名誉戦傷章
";"Purple Heart";"Purple Heart";"Медаль ""Пурпурне серце"" ";"Ljubičasto srce";"Bíbor Szív";"상이군인장(Purple Heart)";"Медаль ""Пурпуровае сэрца""";"Inima mov";"紫心勳章";"紫\t心\t勋\t章";;
"usa_heart/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_flying_cross_1_class/name";"Distinguished Flying Cross";"Distinguished Flying Cross 1ere Classe";"Distinguished Flying Cross 1st Class";"Flieger-Verdienstkreuz I. Klasse";"Cruz al vuelo distinguido de 1ª clase";"Крест летных заслуг";"Zaszczytny Krzyż Lotniczy I klasy";"Záslužný letecký kříž 1. třídy";"1. Sınıf Seçkin Havacı Haçı";"一\t级\t杰\t出\t飞\t行\t十\t字\t勋\t章";"第一等航空殊勲十字章";"Distinguished Flying Cross 1st Class";"Distinguished Flying Cross";"Хрест льотних заслуг 1-го класу ";"Karakterističan Leteći Krst 1. Reda";"Kiemelkedő repülésért kereszt I. fokozat";"1급 수훈비행십자장(Distinguished Flying Cross 1st Class)";"Крыж лётных заслуг 1-й ступені";"Crucea „Pilot remarcabil”";"一級傑出飛行十字勳章";"一\t级\t杰\t出\t飞\t行\t十\t字\t勋\t章";;
"usa_flying_cross_1_class/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_europe/name";"European-African-Middle Eastern Campaign Medal";"Médaille de campagne Europe-Afrique-Moyen-Orient";"European-African-Middle Eastern Campaign Medal";"Europa-Afrika-Mittlerer Osten-Kampagne-Medaille";"Medalla de campaña en Europa-África-Oriente Medio";"Медаль За европейско-афро-ближневосточную кампанию";"Medal za Kampanię w Europie, Afryce i Bliskim Wschodzie";"Medaile evropsko-africko-středovýchodní kampaně";"Avrupa-Afrika-Orta Doğu Harekat Madalyası";"欧\t洲\t-\t非\t洲\t-\t中\t东\t战\t役\t勋\t章";"欧州・ｱﾌﾘｶ・\t中東戦従軍章
";"European-African-Middle Eastern Campaign Medal";"European-African-Middle Eastern Campaign Medal";"Медаль за Європейсько-Афро-Близькосхідну кампанію ";"Medalja Evropsko-Afričke-Blisko istočne kampanje";"Európai, afrikai és közel-keleti hadjáratért érme";"유럽-아프리카-중동 종군 기장(European-African-Middle Eastern Campaign Medal)";"Медаль за Еўрапейска-Афра-Блізкаўсходнюю кампаніі";"Medalia campaniei Europa-Africa-Orientul Mijlociu";"歐洲-非洲-中東戰役勳章";"欧\t洲\t-\t非\t洲\t-\t中\t东\t战\t役\t勋\t章";;
"usa_europe/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_service_cross/name";"Distinguished Service Cross";"Croix du Service distingué";"Distinguished Service Cross";"Kreuz für herausragende Dienste";"Cruz al servicio distinguido";"Крест За выдающиеся заслуги";"Krzyż za Wybitną Służbę";"Kříž za vynikající službu";"Üstün Hizmet Haçı";"杰\t出\t服\t役\t十\t字\t勋\t章";"殊勲十字章";"Distinguished Service Cross";"Distinguished Service Cross";"Хрест ""За видатні заслуги""";"Krst Istaknute Službe";"Kiemelkedő szolgálatért kereszt";"수훈십자장(Distinguished Service Cross)";"Крыж ""За выдатныя заслугі""";"Crucea „Serviciu remarcabil”";"傑出服役十字勳章";"杰\t出\t服\t役\t十\t字\t勋\t章";;
"usa_service_cross/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_conduct_medal_navy/name";"Navy Good Conduct Medal";"Médaille de bonne conduite de la Navy";"Medaglia alla Buona Condotta in Marina";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Медаль За безупречную службу ВМФ";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Медаль За бездоганну службу ВМФ";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Navy Good Conduct Medal";"Medalia de bună conduită în marină";"Navy Good Conduct Medal";"Navy Good Conduct Medal";;
"usa_conduct_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_conduct/name";"Army Good Conduct Medal";"Médaille de bonne conduite";"Good Conduct Medal";"Medaille für gute Führung";"Medalla de buen comportamiento";"Медаль За безупречную службу в армии";"Medal za Dobrą Służbę";"Medaile za dobré vedení";"Örnek Davranış Madalyası";"陆\t军\t优\t良\t品\t德\t奖\t章";"善行章";"Good Conduct Medal";"Army Good Conduct Medal";"Медаль ""За бездоганну службу"" ";"Medalja Dobrog Vladanja ";"Jó magaviseleti érem";"선행장(Good Conduct Medal)";"Медаль ""За бездакорную службу""";"Medalia de bună conduită în armată";"陸軍優良品德獎章";"陆\t军\t优\t良\t品\t德\t奖\t章";;
"usa_conduct/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_conduct_medal_air/name";"Air Force Good Conduct Medal";"Médaille de bonne conduite de l'Air Force";"Medaglia alla Buona Condotta nell'Aeronautica";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Медаль За безупречную службу ВВС";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Медаль За бездоганну службу ВПС";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";"Medalia de bună conduită în aviație";"Air Force Good Conduct Medal";"Air Force Good Conduct Medal";;
"usa_conduct_medal_air/desc";;;;;;;;;;;;;;;;;;;;;;;
"usa_commendation_medal_navy/name";"Navy Commendation Medal";"Médaille du mérite de la Navy";"Medaglia di Elogio della Marina";"Navy Commendation Medal";"Navy Commendation Medal";"Похвальная медаль ВМФ";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Похвальна медаль ВМФ";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Navy Commendation Medal";"Medalia de recomandare în marină";"Navy Commendation Medal";"Navy Commendation Medal";;
"usa_commendation_medal_navy/desc";;;;;;;;;;;;;;;;;;;;;;;
